,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,4.96,0.0,-0.01230075715532628
1,1,1000,5.04,0.2,-0.012106440004580294
2,2,1000,5.04,0.4,-0.011912122853834308
3,4,1000,5.06,0.79,-0.011523488552342333
4,8,1000,5.05,1.58,-0.010746219949358388
5,16,1000,5.05,3.17,-0.009191682743390495
6,32,1000,5.06,6.33,-0.006082608331454711
7,64,1000,5.07,12.62,0.000135540492416859
8,128,1000,5.14,24.9,0.012571838140159998
9,256,1000,5.17,49.49,0.037444433435646275
10,512,1000,5.22,98.02,0.08718962402661884
11,1024,1000,5.84,175.41,0.18668000520856395
12,2048,1000,5.61,364.81,0.38566076757245416
13,4096,1000,6.52,628.32,0.7836222923002346
14,8192,1000,6.96,1176.75,1.5795453417557956
15,16384,1000,8.99,1823.38,3.1713914406669175
16,32768,1000,14.51,2258.65,6.355083638489161
17,65536,640,29.28,2238.05,12.722468034133648
18,131072,320,36.46,3594.83,25.457236825422623
19,262144,160,55.32,4738.8,50.926774408000576
20,524288,80,85.85,6106.77,101.86584957315647
21,1048576,40,147.64,7102.41,203.74399990346828
22,2097152,20,306.36,6845.43,407.50030056409184
23,4194304,10,649.14,6461.29,815.012901885339
24,8388608,5,1540.25,5446.27,1630.0381045278334
25,16777216,2,3244.35,5171.21,3260.0885098128224
26,33554432,1,6606.4,5079.08,6520.189320382799
27,67108864,1,13267.25,5058.23,13040.390941522755
28,134217728,1,26216.7,5119.55,26080.794183802664
29,268435456,1,52033.56,5158.89,52161.60066836249
