,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.42,0.0,11.148209054776508
1,1,1000,9.47,0.11,11.148539961331668
2,2,1000,9.4,0.21,11.148870867886828
3,4,1000,9.43,0.42,11.149532680997147
4,8,1000,9.45,0.85,11.150856307217786
5,16,1000,9.48,1.69,11.153503559659066
6,32,1000,9.46,3.38,11.158798064541623
7,64,1000,9.44,6.78,11.169387074306739
8,128,1000,17.84,7.18,11.19056509383697
9,256,1000,16.82,15.22,11.232921132897431
10,512,1000,19.66,26.04,11.317633211018352
11,1024,1000,25.89,39.56,11.487057367260196
12,2048,1000,21.02,97.43,11.825905679743883
13,4096,1000,21.11,194.0,12.50360230471126
14,8192,1000,21.63,378.65,13.858995554646011
15,16384,1000,24.0,682.58,16.569782054515514
16,32768,1000,32.19,1018.05,21.99135505425452
17,65536,640,49.95,1311.95,32.834501053732524
18,131072,320,70.65,1855.13,54.520793052688546
19,262144,160,109.21,2400.42,97.89337705060058
20,524288,80,195.88,2676.63,184.63854504642467
21,1048576,40,356.03,2945.19,358.1288810380728
22,2097152,20,671.11,3124.89,705.1095530213692
23,4194304,10,1367.58,3066.95,1399.0708969879618
24,8388608,5,2681.45,3128.39,2786.993584921147
25,16777216,2,5523.15,3037.62,5562.838960787517
26,33554432,1,11160.67,3006.49,11114.529712520258
27,67108864,1,22588.16,2970.98,22217.91121598574
28,134217728,1,43960.59,3053.14,44424.67422291671
29,268435456,1,88978.41,3016.86,88838.20023677863
