,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.22,0.0,-32.62134128164785
1,1,1000,0.21,4.78,-32.6211819930026
2,2,1000,0.21,9.39,-32.62102270435735
3,4,1000,0.21,18.85,-32.62070412706686
4,8,1000,0.21,37.28,-32.62006697248586
5,16,1000,0.21,75.24,-32.61879266332387
6,32,1000,0.25,129.61,-32.61624404499989
7,64,1000,0.24,263.23,-32.61114680835193
8,128,1000,0.35,368.71,-32.600952335056014
9,256,1000,0.37,697.86,-32.58056338846418
10,512,1000,0.46,1121.51,-32.5397854952805
11,1024,1000,0.56,1823.38,-32.458229708913144
12,2048,1000,0.78,2628.38,-32.295118136178445
13,4096,1000,1.15,3557.52,-31.968894990709035
14,8192,1000,1.9,4312.25,-31.316448699770216
15,16384,1000,2.97,5516.41,-30.011556117892585
16,32768,1000,4.76,6890.25,-27.401770954137316
17,65536,640,8.13,8056.55,-22.18220062662678
18,131072,320,14.7,8919.44,-11.743059971605714
19,262144,160,13.9,18860.49,9.135221338436423
20,524288,80,24.95,21017.23,50.8917839585207
21,1048576,40,59.65,17577.83,134.40490919868924
22,2097152,20,156.75,13378.57,301.43115967902634
23,4194304,10,336.33,12470.94,635.4836606397006
24,8388608,5,1243.69,6744.93,1303.588662561049
25,16777216,2,2449.92,6848.06,2639.7986664037458
26,33554432,1,5356.77,6263.93,5312.218674089139
27,67108864,1,10721.47,6259.3,10657.058689459926
28,134217728,1,21479.66,6248.6,21346.7387202015
29,268435456,1,42657.82,6292.76,42726.09878168465
