,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,1.27,0.0,5.129778629386366
1,1,1000,1.28,0.78,5.1298606927383705
2,2,1000,1.31,1.53,5.129942756090375
3,4,1000,1.29,3.11,5.130106882794384
4,8,1000,1.28,6.26,5.130435136202401
5,16,1000,1.28,12.52,5.1310916430184355
6,32,1000,1.29,24.75,5.132404656650505
7,64,1000,1.43,44.75,5.1350306839146445
8,128,1000,1.48,86.36,5.140282738442922
9,256,1000,1.74,147.48,5.150786847499479
10,512,1000,1.79,286.69,5.171795065612591
11,1024,1000,1.95,525.03,5.2138115018388165
12,2048,1000,2.54,806.5,5.297844374291267
13,4096,1000,3.37,1215.02,5.465910119196168
14,8192,1000,4.11,1994.7,5.802041609005968
15,16384,1000,5.86,2796.23,6.4743045886255715
16,32768,1000,10.39,3155.0,7.818830547864776
17,65536,640,13.05,5023.01,10.507882466343187
18,131072,320,22.19,5908.06,15.885986303300005
19,262144,160,33.33,7865.23,26.642193977213644
20,524288,80,57.98,9041.88,48.15460932504092
21,1048576,40,98.59,10635.44,91.17944002069548
22,2097152,20,183.63,11420.58,177.2291014120046
23,4194304,10,353.64,11860.43,349.3284241946228
24,8388608,5,695.93,12053.74,693.5270697598593
25,16777216,2,1382.3,12137.14,1381.9243608903323
26,33554432,1,2750.73,12198.36,2758.718943151278
27,67108864,1,5520.39,12156.55,5512.30810767317
28,134217728,1,11027.22,12171.5,11019.486436716954
29,268435456,1,22028.68,12185.72,22033.84309480452
