,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,11.33,0.0,39.09496629460576
1,1,1000,11.13,0.09,39.095408627514296
2,2,1000,11.14,0.18,39.09585096042282
3,4,1000,11.01,0.36,39.09673562623989
4,8,1000,11.05,0.72,39.09850495787402
5,16,1000,10.94,1.46,39.10204362114228
6,32,1000,10.75,2.98,39.10912094767879
7,64,1000,10.67,6.0,39.12327560075182
8,128,1000,11.38,11.25,39.151584906897874
9,256,1000,11.24,22.77,39.208203519189986
10,512,1000,13.87,36.91,39.32144074377422
11,1024,1000,14.02,73.02,39.547915192942675
12,2048,1000,15.86,129.15,40.00086409127958
13,4096,1000,17.08,239.77,40.90676188795341
14,8192,1000,19.48,420.6,42.718557481301055
15,16384,1000,31.67,517.39,46.34214866799635
16,32768,1000,44.89,729.98,53.58933104138693
17,65536,640,76.19,860.16,68.0836957881681
18,131072,320,140.7,931.56,97.07242528173043
19,262144,160,206.48,1269.56,155.04988426885512
20,524288,80,329.51,1591.14,271.00480224310445
21,1048576,40,516.23,2031.22,502.91463819160316
22,2097152,20,913.92,2294.68,966.7343100886006
23,4194304,10,1750.73,2395.75,1894.3736538825954
24,8388608,5,3594.44,2333.77,3749.6523414705853
25,16777216,2,7396.25,2268.34,7460.209716646565
26,33554432,1,14989.54,2238.52,14881.324466998523
27,67108864,1,30041.51,2233.87,29723.55396770244
28,134217728,1,60052.64,2235.0,59408.01296911028
29,268435456,1,118372.87,2267.71,118776.93097192595
