,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,1.37,0.0,4.929987216587743
1,1,1000,1.37,0.73,4.9300693921900205
2,2,1000,1.36,1.47,4.930151567792299
3,4,1000,1.36,2.93,4.930315918996854
4,8,1000,1.36,5.88,4.930644621405965
5,16,1000,1.37,11.69,4.931302026224187
6,32,1000,1.39,23.01,4.932616835860632
7,64,1000,1.66,38.48,4.93524645513352
8,128,1000,1.71,74.67,4.940505693679296
9,256,1000,1.97,130.03,4.951024170770849
10,512,1000,2.06,249.05,4.972061124953956
11,1024,1000,2.31,442.52,5.014135033320169
12,2048,1000,2.96,692.38,5.098282850052595
13,4096,1000,3.94,1039.62,5.2665784835174465
14,8192,1000,5.5,1489.92,5.603169750447151
15,16384,1000,7.29,2248.4,6.276352284306559
16,32768,1000,10.0,3278.31,7.622717352025374
17,65536,640,14.47,4529.26,10.315447487463006
18,131072,320,23.48,5582.73,15.700907758338268
19,262144,160,33.26,7881.68,26.471828300088795
20,524288,80,55.82,9392.32,48.01366938358984
21,1048576,40,98.82,10611.22,91.09735155059195
22,2097152,20,185.88,11282.43,177.26471588459614
23,4194304,10,355.03,11813.87,349.59944455260455
24,8388608,5,697.47,12027.17,694.2689018886214
25,16777216,2,1384.18,12120.69,1383.607816560655
26,33554432,1,2764.26,12138.68,2762.2856459047225
27,67108864,1,5505.88,12188.59,5519.641304592857
28,134217728,1,11028.52,12170.06,11034.352621969127
29,268435456,1,22069.54,12163.17,22063.775256721663
