,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,8.49,0.0,2.3781258568911534
1,1,1000,8.56,0.12,2.3784499106539165
2,2,1000,8.58,0.23,2.3787739644166797
3,4,1000,8.56,0.47,2.379422071942206
4,8,1000,8.56,0.93,2.380718286993259
5,16,1000,8.54,1.87,2.383310717095364
6,32,1000,8.54,3.75,2.3884955772995746
7,64,1000,8.58,7.46,2.3988652977079954
8,128,1000,8.87,14.44,2.4196047385248374
9,256,1000,8.91,28.72,2.461083620158522
10,512,1000,9.01,56.82,2.54404138342589
11,1024,1000,10.29,99.53,2.709956909960627
12,2048,1000,9.52,215.19,3.0417879630301004
13,4096,1000,11.56,354.19,3.705450069169047
14,8192,1000,12.26,668.27,5.03277428144694
15,16384,1000,16.68,982.35,7.687422706002727
16,32768,1000,27.19,1205.35,12.9967195551143
17,65536,640,62.4,1050.25,23.615313253337447
18,131072,320,84.42,1552.57,44.85250064978374
19,262144,160,121.14,2163.97,87.32687544267634
20,524288,80,187.65,2793.95,172.27562502846152
21,1048576,40,331.59,3162.27,342.17312420003185
22,2097152,20,639.55,3279.11,681.9681225431726
23,4194304,10,1325.76,3163.69,1361.558119229454
24,8388608,5,2634.09,3184.64,2720.738112602017
25,16777216,2,5405.9,3103.5,5439.098099347143
26,33554432,1,10924.81,3071.4,10875.818072837394
27,67108864,1,21775.73,3081.82,21749.2580198179
28,134217728,1,43279.59,3101.18,43496.137913778904
29,268435456,1,87091.05,3082.24,86989.89770170092
