,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.01,0.0,4.197095232265221
1,1,1000,9.09,0.11,4.197417815693903
2,2,1000,9.16,0.22,4.197740399122584
3,4,1000,9.16,0.44,4.198385565979947
4,8,1000,9.15,0.87,4.1996758996946735
5,16,1000,9.16,1.75,4.202256567124126
6,32,1000,9.2,3.48,4.20741790198303
7,64,1000,9.17,6.98,4.217740571700839
8,128,1000,9.46,13.54,4.238385911136457
9,256,1000,9.5,26.95,4.279676590007692
10,512,1000,9.58,53.42,4.362257947750162
11,1024,1000,10.39,98.59,4.527420663235104
12,2048,1000,10.01,204.52,4.8577460942049875
13,4096,1000,11.78,347.74,5.518396956144754
14,8192,1000,12.93,633.64,6.839698680024286
15,16384,1000,16.95,966.42,9.48230212778335
16,32768,1000,27.31,1200.0,14.76750902330148
17,65536,640,62.96,1040.83,25.337922814337738
18,131072,320,85.37,1535.35,46.478750396410256
19,262144,160,119.11,2200.9,88.7604055605553
20,524288,80,188.53,2780.98,173.32371588884536
21,1048576,40,332.13,3157.11,342.4503365454255
22,2097152,20,641.19,3270.73,680.7035778585858
23,4194304,10,1343.5,3121.93,1357.2100604849063
24,8388608,5,2632.56,3186.48,2710.2230257375477
25,16777216,2,5395.44,3109.52,5416.24895624283
26,33554432,1,10862.3,3089.07,10828.300817253394
27,67108864,1,21599.52,3106.96,21652.404539274525
28,134217728,1,43194.89,3107.26,43300.61198331678
29,268435456,1,86663.06,3097.46,86597.0268714013
