,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.56,0.0,-89.9047030241506
1,1,1000,0.58,1.72,-89.90440280491732
2,2,1000,0.58,3.48,-89.90410258568403
3,4,1000,0.58,6.94,-89.90350214721745
4,8,1000,0.57,13.92,-89.90230127028431
5,16,1000,0.63,25.37,-89.89989951641802
6,32,1000,0.69,46.27,-89.89509600868543
7,64,1000,0.81,79.14,-89.88548899322025
8,128,1000,0.88,144.79,-89.86627496228989
9,256,1000,1.02,251.38,-89.82784690042918
10,512,1000,1.23,415.13,-89.75099077670774
11,1024,1000,1.54,664.33,-89.59727852926488
12,2048,1000,1.72,1190.11,-89.28985403437916
13,4096,1000,2.52,1626.31,-88.67500504460772
14,8192,1000,3.1,2643.17,-87.44530706506481
15,16384,1000,3.79,4322.07,-84.98591110597903
16,32768,1000,5.21,6289.64,-80.06711918780744
17,65536,640,6.45,10164.08,-70.22953535146428
18,131072,320,10.23,12812.11,-50.55436767877794
19,262144,160,18.06,14517.97,-11.20403233340528
20,524288,80,37.8,13871.47,67.49663835734005
21,1048576,40,100.03,10482.23,224.8979797388307
22,2097152,20,237.76,8820.57,539.700662501812
23,4194304,10,487.89,8596.84,1169.3060280277746
24,8388608,5,1210.07,6932.34,2428.5167590797
25,16777216,2,4032.27,4160.74,4946.93822118355
26,33554432,1,10390.38,3229.38,9983.78114539125
27,67108864,1,20681.3,3244.91,20057.466993806655
28,134217728,1,41479.33,3235.77,40204.83869063746
29,268435456,1,79764.25,3365.36,80499.58208429907
