,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.29,0.0,-38.99598973546506
1,1,1000,0.28,3.51,-38.99582947654888
2,2,1000,0.29,6.84,-38.99566921763269
3,4,1000,0.29,13.92,-38.99534869980032
4,8,1000,0.29,27.88,-38.99470766413558
5,16,1000,0.3,54.19,-38.993425592806105
6,32,1000,0.35,92.39,-38.99086145014715
7,64,1000,0.35,183.69,-38.985733164829234
8,128,1000,0.46,275.76,-38.97547659419341
9,256,1000,0.5,515.86,-38.95496345292177
10,512,1000,0.57,894.19,-38.913937170378475
11,1024,1000,0.66,1546.51,-38.83188460529188
12,2048,1000,0.89,2312.01,-38.66777947511871
13,4096,1000,1.26,3257.4,-38.339569214772354
14,8192,1000,1.99,4106.85,-37.683148694079655
15,16384,1000,4.09,4003.83,-36.37030765269425
16,32768,1000,4.94,6638.5,-33.74462556992344
17,65536,640,6.64,9875.97,-28.493261404381823
18,131072,320,8.76,14954.77,-17.990533073298586
19,262144,160,13.76,19054.69,3.0149235888678874
20,524288,80,25.36,20670.47,45.025836913200834
21,1048576,40,59.24,17699.85,129.04766356186673
22,2097152,20,153.49,13662.79,297.0913168591985
23,4194304,10,331.53,12651.36,633.1786234538621
24,8388608,5,957.75,8758.62,1305.3532366431891
25,16777216,2,2519.07,6660.1,2649.7024630218434
26,33554432,1,5421.27,6189.4,5338.4009157791525
27,67108864,1,10802.91,6212.11,10715.797821293769
28,134217728,1,21684.84,6189.47,21470.591632323005
29,268435456,1,42866.05,6262.19,42980.17925438147
