,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,6.43,0.0,-21.17908692235133
1,1,1000,6.49,0.15,-21.178892079529852
2,2,1000,6.47,0.31,-21.178697236708377
3,4,1000,6.49,0.62,-21.17830755106542
4,8,1000,6.49,1.23,-21.17752817977951
5,16,1000,6.47,2.47,-21.175969437207687
6,32,1000,6.47,4.95,-21.172851952064043
7,64,1000,6.49,9.86,-21.166616981776755
8,128,1000,6.5,19.69,-21.15414704120218
9,256,1000,11.34,22.57,-21.129207160053028
10,512,1000,13.07,39.19,-21.079327397754724
11,1024,1000,16.51,62.02,-20.97956787315812
12,2048,1000,13.62,150.39,-20.78004882396491
13,4096,1000,14.22,288.12,-20.381010725578488
14,8192,1000,13.82,592.71,-19.582934528805644
15,16384,1000,14.01,1169.27,-17.986782135259958
16,32768,1000,16.02,2045.18,-14.794477348168586
17,65536,640,24.04,2725.66,-8.409867773985841
18,131072,320,30.7,4269.94,4.359351374379649
19,262144,160,45.51,5760.11,29.89778967111063
20,524288,80,81.64,6421.92,80.97466626457259
21,1048576,40,153.51,6830.86,183.1284194514965
22,2097152,20,336.4,6234.1,387.4359258253444
23,4194304,10,644.74,6505.41,796.0509385730401
24,8388608,5,1495.88,5607.81,1613.2809640684313
25,16777216,2,3176.06,5282.41,3247.741015059214
26,33554432,1,6471.37,5185.06,6516.66111704078
27,67108864,1,12937.91,5186.99,13054.50132100391
28,134217728,1,26017.95,5158.66,26130.181728930173
29,268435456,1,52383.45,5124.43,52281.5425447827
