,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,5.08,0.0,-7.98028902533697
1,1,1000,5.1,0.2,-7.98009559010583
2,2,1000,5.1,0.39,-7.979902154874692
3,4,1000,5.14,0.78,-7.979515284412414
4,8,1000,5.1,1.57,-7.978741543487857
5,16,1000,5.09,3.14,-7.977194061638745
6,32,1000,5.1,6.28,-7.9740990979405195
7,64,1000,5.1,12.55,-7.967909170544069
8,128,1000,5.13,24.93,-7.955529315751169
9,256,1000,5.18,49.45,-7.930769606165367
10,512,1000,6.5,78.73,-7.881250186993765
11,1024,1000,6.64,154.17,-7.782211348650559
12,2048,1000,6.87,297.97,-7.584133671964149
13,4096,1000,7.44,550.23,-7.187978318591329
14,8192,1000,8.26,991.91,-6.3956676118456866
15,16384,1000,14.69,1115.1,-4.811046198354403
16,32768,1000,22.17,1478.06,-1.6418033713718367
17,65536,640,39.02,1679.5,4.696682282593296
18,131072,320,72.82,1799.95,17.373653590523563
19,262144,160,58.03,4517.64,42.72759620638409
20,524288,80,89.92,5830.65,93.43548143810516
21,1048576,40,152.73,6865.7,194.8512519015473
22,2097152,20,304.08,6896.6,397.68279282843156
23,4194304,10,642.91,6523.97,803.3458746822
24,8388608,5,1493.36,5617.28,1614.672038389737
25,16777216,2,3264.9,5138.66,3237.3243658048114
26,33554432,1,6502.98,5159.85,6482.6290206349595
27,67108864,1,13033.66,5148.89,12973.238330295255
28,134217728,1,25900.69,5182.01,25954.456949615847
29,268435456,1,51931.55,5169.02,51916.894188257036
