,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.43,0.0,-89.8981016597021
1,1,1000,0.42,2.36,-89.89790844496318
2,2,1000,0.42,4.71,-89.89771523022426
3,4,1000,0.42,9.42,-89.89732880074641
4,8,1000,0.42,19.07,-89.89655594179071
5,16,1000,0.42,37.73,-89.89501022387932
6,32,1000,0.57,56.13,-89.89191878805654
7,64,1000,0.57,111.34,-89.88573591641097
8,128,1000,1.09,117.15,-89.87337017311982
9,256,1000,1.1,232.22,-89.84863868653754
10,512,1000,1.2,426.15,-89.79917571337299
11,1024,1000,1.52,675.83,-89.70024976704387
12,2048,1000,2.12,966.73,-89.50239787438562
13,4096,1000,3.0,1364.35,-89.10669408906915
14,8192,1000,4.66,1759.0,-88.31528651843618
15,16384,1000,7.24,2263.09,-86.73247137717027
16,32768,1000,12.46,2628.93,-83.56684109463843
17,65536,640,23.4,2800.18,-77.23558052957475
18,131072,320,43.94,2982.76,-64.5730593994474
19,262144,160,14.6,17957.56,-39.2480171391927
20,524288,80,25.67,20427.74,11.402067381316712
21,1048576,40,60.59,17306.47,112.70223642233553
22,2097152,20,155.17,13515.18,315.3025745043732
23,4194304,10,332.01,12632.99,720.5032506684485
24,8388608,5,752.19,11152.19,1530.904602996599
25,16777216,2,2352.94,7130.32,3151.7073076529
26,33554432,1,6306.36,5320.73,6393.312716965503
27,67108864,1,13249.33,5065.08,12876.523535590706
28,134217728,1,25967.28,5168.73,25842.945172841115
29,268435456,1,51712.89,5190.88,51775.78844734193
