,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.25,0.0,-50.78709971718444
1,1,1000,0.27,3.64,-50.786877031580744
2,2,1000,0.27,7.28,-50.786654345977055
3,4,1000,0.27,14.62,-50.786208974769664
4,8,1000,0.28,28.88,-50.78531823235489
5,16,1000,0.3,53.78,-50.78353674752534
6,32,1000,0.3,105.79,-50.77997377786624
7,64,1000,0.34,188.23,-50.772847838548046
8,128,1000,0.38,336.83,-50.758595959911645
9,256,1000,0.46,554.67,-50.73009220263885
10,512,1000,0.6,848.46,-50.67308468809326
11,1024,1000,0.72,1417.48,-50.559069659002084
12,2048,1000,0.9,2284.74,-50.33103960081973
13,4096,1000,1.76,2321.45,-49.87497948445502
14,8192,1000,2.07,3960.13,-48.9628592517256
15,16384,1000,2.64,6209.23,-47.13861878626676
16,32768,1000,3.74,8763.42,-43.49013785534908
17,65536,640,5.28,12409.67,-36.19317599351372
18,131072,320,10.26,12781.24,-21.599252269843007
19,262144,160,18.92,13852.03,7.588595177498426
20,524288,80,38.81,13510.27,65.96429007218129
21,1048576,40,90.35,11605.79,182.71567986154702
22,2097152,20,213.83,9807.77,416.2184594402785
23,4194304,10,428.96,9777.84,883.2240185977414
24,8388608,5,1507.96,5562.88,1817.2351369126673
25,16777216,2,3703.01,4530.7,3685.257373542519
26,33554432,1,7471.23,4491.16,7421.301846802223
27,67108864,1,14949.02,4489.18,14893.390793321629
28,134217728,1,29868.94,4493.55,29837.568686360442
29,268435456,1,59707.69,4495.83,59725.92447243807
