,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.44,0.0,-120.21071772749006
1,1,1000,0.44,2.26,-120.21053942561191
2,2,1000,0.45,4.48,-120.21036112373376
3,4,1000,0.44,9.02,-120.21000451997747
4,8,1000,0.45,17.86,-120.20929131246488
5,16,1000,0.44,36.31,-120.2078648974397
6,32,1000,0.64,49.86,-120.20501206738933
7,64,1000,0.66,97.49,-120.19930640728862
8,128,1000,1.03,124.12,-120.18789508708716
9,256,1000,1.11,229.99,-120.16507244668425
10,512,1000,1.2,425.57,-120.11942716587845
11,1024,1000,1.51,679.87,-120.02813660426682
12,2048,1000,2.25,910.48,-119.84555548104359
13,4096,1000,3.25,1259.46,-119.48039323459712
14,8192,1000,5.18,1581.28,-118.75006874170415
15,16384,1000,4.54,3607.29,-117.28941975591826
16,32768,1000,5.3,6180.82,-114.36812178434644
17,65536,640,6.7,9776.83,-108.52552584120284
18,131072,320,8.64,15163.08,-96.84033395491561
19,262144,160,12.96,20222.07,-73.46995018234115
20,524288,80,22.35,23454.88,-26.72918263719224
21,1048576,40,50.76,20657.61,66.75235245310559
22,2097152,20,143.17,14647.82,253.71542263370122
23,4194304,10,292.83,14323.46,627.6415629948925
24,8388608,5,601.89,13937.11,1375.4938437172752
25,16777216,2,1841.49,9110.69,2871.19840516204
26,33554432,1,5497.75,6103.3,5862.607528051571
27,67108864,1,11923.58,5628.25,11845.425773830631
28,134217728,1,23837.97,5630.42,23811.062265388755
29,268435456,1,47849.35,5610.01,47742.335248505
