,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,7.87,0.0,7.583778688749247
1,1,1000,7.89,0.13,7.58408347374299
2,2,1000,7.84,0.26,7.584388258736735
3,4,1000,7.85,0.51,7.584997828724223
4,8,1000,7.86,1.02,7.5862169686991985
5,16,1000,7.84,2.04,7.58865524864915
6,32,1000,7.85,4.07,7.593531808549054
7,64,1000,8.09,7.91,7.603284928348862
8,128,1000,8.09,15.81,7.622791167948477
9,256,1000,8.15,31.4,7.661803647147708
10,512,1000,10.07,50.84,7.739828605546169
11,1024,1000,10.09,101.49,7.895878522343091
12,2048,1000,10.41,196.76,8.207978355936936
13,4096,1000,11.51,355.76,8.832178023124623
14,8192,1000,13.1,625.32,10.0805773575
15,16384,1000,23.03,711.31,12.577376026250754
16,32768,1000,34.9,938.99,17.57097336375226
17,65536,640,55.81,1174.29,27.55816803875527
18,131072,320,102.86,1274.32,47.5325573887613
19,262144,160,109.26,2399.35,87.48133608877335
20,524288,80,170.1,3082.26,167.37889348879744
21,1048576,40,312.75,3352.77,327.17400828884564
22,2097152,20,620.41,3380.24,646.764237888942
23,4194304,10,1226.08,3420.91,1285.9446970891347
24,8388608,5,2443.16,3433.5,2564.3056154895203
25,16777216,2,4857.67,3453.76,5121.027452290292
26,33554432,1,10339.98,3245.12,10234.471125891834
27,67108864,1,20818.4,3223.54,20461.35847309492
28,134217728,1,40819.22,3288.1,40915.13316750109
29,268435456,1,81789.57,3282.03,81822.68255631342
