,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.69,0.0,-54.53691609251742
1,1,1000,0.43,2.35,-54.53667853519227
2,2,1000,0.43,4.68,-54.536440977867116
3,4,1000,0.43,9.28,-54.53596586321681
4,8,1000,0.43,18.67,-54.5350156339162
5,16,1000,0.43,37.16,-54.533115175314975
6,32,1000,0.48,67.28,-54.529314258112535
7,64,1000,0.48,134.37,-54.52171242370764
8,128,1000,0.59,215.96,-54.506508754897865
9,256,1000,0.62,412.99,-54.4761014172783
10,512,1000,0.82,625.97,-54.41528674203918
11,1024,1000,0.9,1142.03,-54.293657391560934
12,2048,1000,1.07,1909.27,-54.050398690604446
13,4096,1000,1.47,2789.44,-53.563881288691476
14,8192,1000,2.02,4063.81,-52.59084648486552
15,16384,1000,3.29,4981.1,-50.64477687721363
16,32768,1000,5.04,6500.43,-46.75263766190984
17,65536,640,9.23,7098.18,-38.968359231302244
18,131072,320,17.95,7300.91,-23.399802370087073
19,262144,160,34.3,7643.2,7.737311352343276
20,524288,80,83.33,6292.07,70.01153879720397
21,1048576,40,169.25,6195.58,194.55999368692537
22,2097152,20,336.43,6233.64,443.6569034663682
23,4194304,10,668.95,6270.0,941.8507230252537
24,8388608,5,1386.13,6051.81,1938.238362143025
25,16777216,2,3754.41,4468.67,3931.0136403785673
26,33554432,1,7920.34,4236.49,7916.564196849652
27,67108864,1,15928.16,4213.22,15887.665309791822
28,134217728,1,31842.81,4215.01,31829.86753567616
29,268435456,1,63730.6,4212.03,63714.27198744484
