,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.19,0.0,-53.575424091002205
1,1,1000,0.19,5.27,-53.575268762503
2,2,1000,0.18,10.97,-53.5751134340038
3,4,1000,0.18,22.22,-53.574802777005395
4,8,1000,0.18,44.37,-53.574181463008586
5,16,1000,0.18,88.5,-53.572938835014966
6,32,1000,0.22,145.89,-53.570453579027735
7,64,1000,0.23,280.92,-53.565483067053265
8,128,1000,0.3,424.53,-53.555542043104325
9,256,1000,0.33,784.31,-53.535659995206444
10,512,1000,0.38,1349.18,-53.495895899410684
11,1024,1000,0.49,2093.92,-53.416367707819155
12,2048,1000,0.74,2760.22,-53.257311324636106
13,4096,1000,1.11,3682.65,-52.93919855827001
14,8192,1000,1.85,4420.6,-52.30297302553782
15,16384,1000,2.93,5586.68,-51.03052196007343
16,32768,1000,4.96,6601.99,-48.485619829144646
17,65536,640,8.37,7830.8,-43.395815567287094
18,131072,320,15.06,8704.41,-33.216207043571984
19,262144,160,13.9,18855.87,-12.856989996141756
20,524288,80,24.94,21018.52,27.861444098718692
21,1048576,40,53.0,19782.72,109.29831228843959
22,2097152,20,142.23,14744.54,272.17204866788137
23,4194304,10,301.56,13908.5,597.919521426765
24,8388608,5,864.56,9702.7,1249.4144669445323
25,16777216,2,2243.97,7476.56,2552.4043579800664
26,33554432,1,5189.67,6465.62,5158.384140051136
27,67108864,1,10425.75,6436.84,10370.343704193272
28,134217728,1,20855.74,6435.53,20794.262832477547
29,268435456,1,41630.7,6448.02,41642.1010890461
