,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,15.96,0.0,38.03314419780558
1,1,1000,15.98,0.06,38.033492146729195
2,2,1000,16.01,0.12,38.0338400956528
3,4,1000,15.99,0.25,38.034535993500015
4,8,1000,15.99,0.5,38.03592778919445
5,16,1000,16.03,1.0,38.03871138058332
6,32,1000,16.13,1.98,38.04427856336106
7,64,1000,16.27,3.93,38.05541292891653
8,128,1000,16.59,7.72,38.07768166002748
9,256,1000,16.72,15.31,38.122219122249376
10,512,1000,17.03,30.07,38.21129404669317
11,1024,1000,17.54,58.38,38.389443895580754
12,2048,1000,38.96,52.57,38.745743593355925
13,4096,1000,39.29,104.26,39.458342988906274
14,8192,1000,40.27,203.45,40.88354178000696
15,16384,1000,42.26,387.74,43.73393936220833
16,32768,1000,50.27,651.83,49.43473452661108
17,65536,640,147.04,445.7,60.836324855416585
18,131072,320,140.54,932.66,83.63950551302759
19,262144,160,192.6,1361.1,129.24586682824958
20,524288,80,275.55,1902.7,220.4585894586936
21,1048576,40,459.62,2281.38,402.8840347195816
22,2097152,20,821.47,2552.94,767.7349252413576
23,4194304,10,1530.41,2740.65,1497.4367062849096
24,8388608,5,2991.42,2804.22,2956.8402683720137
25,16777216,2,5853.32,2866.27,5875.647392546222
26,33554432,1,11570.06,2900.11,11713.261640894638
27,67108864,1,23361.45,2872.63,23388.49013759147
28,134217728,1,46721.89,2872.7,46738.947130985136
29,268435456,1,93471.99,2871.83,93439.86111777247
