,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.51,0.0,85.91673070306143
1,1,1000,8.42,0.12,85.91709941203727
2,2,1000,8.26,0.24,85.91746812101312
3,4,1000,7.9,0.51,85.9182055389648
4,8,1000,7.93,1.01,85.91968037486818
5,16,1000,7.86,2.03,85.92263004667491
6,32,1000,7.9,4.05,85.92852939028839
7,64,1000,7.92,8.08,85.94032807751536
8,128,1000,7.95,16.11,85.96392545196927
9,256,1000,8.03,31.88,86.01112020087712
10,512,1000,10.81,47.37,86.10550969869281
11,1024,1000,10.99,93.2,86.29428869432418
12,2048,1000,12.83,159.63,86.67184668558693
13,4096,1000,13.88,295.18,87.42696266811242
14,8192,1000,15.83,517.58,88.93719463316341
15,16384,1000,25.9,632.5,91.9576585632654
16,32768,1000,37.13,882.55,97.99858642346936
17,65536,640,63.15,1037.72,110.0804421438773
18,131072,320,118.44,1106.68,134.24415358469318
19,262144,160,158.84,1650.38,182.57157646632493
20,524288,80,248.98,2105.73,279.22642222958837
21,1048576,40,419.13,2501.77,472.53611375611536
22,2097152,20,759.34,2761.82,859.1554968091693
23,4194304,10,1435.68,2921.47,1632.394262915277
24,8388608,5,2914.08,2878.65,3178.871795127493
25,16777216,2,6354.68,2640.14,6271.826859551924
26,33554432,1,13044.32,2572.34,12457.736988400788
27,67108864,1,25721.08,2609.1,24829.557246098513
28,134217728,1,51043.42,2629.48,49573.19776149396
29,268435456,1,98036.44,2738.12,99060.47879228486
