,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,7.95,0.0,21.68594876032349
1,1,1000,7.94,0.13,21.68624963098401
2,2,1000,8.01,0.25,21.68655050164453
3,4,1000,7.97,0.5,21.687152242965567
4,8,1000,7.94,1.01,21.68835572560764
5,16,1000,7.96,2.01,21.69076269089179
6,32,1000,7.97,4.02,21.69557662146009
7,64,1000,8.0,8.0,21.705204482596688
8,128,1000,8.39,15.25,21.724460204869885
9,256,1000,8.42,30.41,21.76297164941628
10,512,1000,8.47,60.43,21.839994538509067
11,1024,1000,9.49,107.86,21.994040316694647
12,2048,1000,9.0,227.55,22.302131873065804
13,4096,1000,10.85,377.64,22.918314985808113
14,8192,1000,11.42,717.1,24.150681211292735
15,16384,1000,15.68,1044.86,26.61541366226198
16,32768,1000,25.61,1279.46,31.544878564200467
17,65536,640,56.47,1160.59,41.40380836807745
18,131072,320,78.3,1674.02,61.1216679758314
19,262144,160,112.44,2331.41,100.5573871913393
20,524288,80,172.77,3034.61,179.42882562235513
21,1048576,40,304.17,3447.37,337.17170248438674
22,2097152,20,601.35,3487.4,652.6574562084501
23,4194304,10,1231.5,3405.86,1283.6289636565766
24,8388608,5,2427.53,3455.62,2545.5719785528295
25,16777216,2,5044.81,3325.64,5069.458008345336
26,33554432,1,10313.84,3253.34,10117.230067930348
27,67108864,1,20154.81,3329.67,20212.774187100375
28,134217728,1,41051.56,3269.49,40403.86242544042
29,268435456,1,80458.67,3336.31,80786.03890212052
