,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,7.95,0.0,29.895906191613786
1,1,1000,8.05,0.12,29.896208031069637
2,2,1000,8.03,0.25,29.896509870525488
3,4,1000,8.03,0.5,29.89711354943719
4,8,1000,8.02,1.0,29.89832090726059
5,16,1000,8.0,2.0,29.900735622907398
6,32,1000,8.03,3.99,29.90556505420101
7,64,1000,8.04,7.96,29.915223916788232
8,128,1000,8.54,14.98,29.934541641962678
9,256,1000,8.59,29.81,29.97317709231157
10,512,1000,8.61,59.46,30.050447993009353
11,1024,1000,9.56,107.15,30.20498979440492
12,2048,1000,9.09,225.24,30.51407339719605
13,4096,1000,10.84,377.87,31.132240602778314
14,8192,1000,11.64,703.65,32.368575013942845
15,16384,1000,15.54,1054.47,34.8412438362719
16,32768,1000,25.91,1264.86,39.78658148093001
17,65536,640,56.43,1161.32,49.67725677024623
18,131072,320,77.7,1686.95,69.45860734887869
19,262144,160,111.53,2350.39,109.02130850614358
20,524288,80,171.18,3062.8,188.14671082067338
21,1048576,40,304.57,3442.84,346.39751544973296
22,2097152,20,604.03,3471.92,662.8991247078521
23,4194304,10,1224.91,3424.17,1295.9023432240904
24,8388608,5,2432.49,3448.57,2561.9087802565673
25,16777216,2,5080.25,3302.44,5093.921654321521
26,33554432,1,10289.02,3261.19,10157.947402451427
27,67108864,1,20481.5,3276.56,20285.99889871124
28,134217728,1,41345.72,3246.23,40542.101891230865
29,268435456,1,80593.9,3330.72,81054.30787627012
