,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.24,0.0,-61.91774795403791
1,1,1000,0.24,4.24,-61.917591670933895
2,2,1000,0.24,8.51,-61.917435387829876
3,4,1000,0.24,17.0,-61.917122821621845
4,8,1000,0.23,34.05,-61.916497689205784
5,16,1000,0.24,68.08,-61.91524742437367
6,32,1000,0.28,113.36,-61.91274689470942
7,64,1000,0.28,225.66,-61.90774583538094
8,128,1000,0.37,350.1,-61.89774371672397
9,256,1000,0.46,555.11,-61.87773947941004
10,512,1000,0.48,1073.67,-61.83773100478217
11,1024,1000,0.6,1719.09,-61.75771405552644
12,2048,1000,0.83,2472.57,-61.59768015701498
13,4096,1000,1.2,3418.45,-61.27761235999205
14,8192,1000,1.95,4200.29,-60.63747676594619
15,16384,1000,3.55,4611.9,-59.357205577854465
16,32768,1000,4.24,7722.25,-56.796663201671024
17,65536,640,5.97,10976.22,-51.67557844930415
18,131072,320,7.84,16722.21,-41.43340894457039
19,262144,160,12.36,21212.38,-20.94906993510287
20,524288,80,21.76,24096.31,20.019608083832168
21,1048576,40,49.08,21366.6,101.95696412170224
22,2097152,20,139.17,15068.84,265.8316761974424
23,4194304,10,291.06,14410.58,593.5811003489227
24,8388608,5,835.12,10044.82,1249.0799486518833
25,16777216,2,2208.36,7597.15,2560.0776452578043
26,33554432,1,5151.31,6513.77,5182.073038469647
27,67108864,1,10451.5,6420.98,10426.063824893332
28,134217728,1,20943.7,6408.5,20914.0453977407
29,268435456,1,41913.42,6404.52,41890.00854343544
