,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,4.72,0.0,-8.371347775162452
1,1,1000,4.78,0.21,-8.37116163648315
2,2,1000,4.76,0.42,-8.370975497803848
3,4,1000,4.78,0.84,-8.370603220445245
4,8,1000,4.77,1.68,-8.369858665728037
5,16,1000,4.77,3.36,-8.368369556293624
6,32,1000,4.79,6.68,-8.365391337424795
7,64,1000,4.81,13.31,-8.359434899687137
8,128,1000,4.82,26.58,-8.347522024211823
9,256,1000,4.85,52.76,-8.323696273261195
10,512,1000,6.42,79.81,-8.27604477135994
11,1024,1000,6.56,156.15,-8.180741767557429
12,2048,1000,6.86,298.62,-7.9901357599524045
13,4096,1000,7.53,543.6,-7.608923744742357
14,8192,1000,8.29,988.09,-6.846499714322263
15,16384,1000,14.57,1124.19,-5.321651653482075
16,32768,1000,21.82,1501.53,-2.271955531801699
17,65536,640,39.09,1676.53,3.827436711559054
18,131072,320,73.01,1795.31,16.02622119828056
19,262144,160,52.39,5003.69,40.42379017172357
20,524288,80,85.46,6135.2,89.2189281186096
21,1048576,40,141.8,7394.68,186.80920401238163
22,2097152,20,265.37,7902.67,381.9897557999257
23,4194304,10,551.2,7609.38,772.3508593750139
24,8388608,5,1442.98,5813.38,1553.0730665251904
25,16777216,2,3049.95,5500.82,3114.517480825543
26,33554432,1,6300.35,5325.81,6237.406309426248
27,67108864,1,12650.04,5305.03,12483.18396662766
28,134217728,1,25004.3,5367.78,24974.73928103048
29,268435456,1,49905.46,5378.88,49957.84990983613
