,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.39,0.0,-120.831930517341
1,1,1000,0.4,2.49,-120.83175254214032
2,2,1000,0.4,4.95,-120.83157456693964
3,4,1000,0.4,10.09,-120.83121861653828
4,8,1000,0.4,20.18,-120.83050671573557
5,16,1000,0.4,39.7,-120.82908291413015
6,32,1000,0.56,56.8,-120.8262353109193
7,64,1000,0.56,115.29,-120.82054010449762
8,128,1000,0.9,141.51,-120.80914969165426
9,256,1000,0.93,274.83,-120.78636886596752
10,512,1000,1.15,446.63,-120.74080721459403
11,1024,1000,1.33,770.95,-120.64968391184706
12,2048,1000,2.08,982.78,-120.46743730635315
13,4096,1000,3.0,1366.64,-120.10294409536529
14,8192,1000,4.81,1704.78,-119.37395767338958
15,16384,1000,7.48,2191.18,-117.91598482943819
16,32768,1000,12.95,2529.59,-115.00003914153538
17,65536,640,24.66,2657.26,-109.16814776572977
18,131072,320,44.72,2930.74,-97.50436501411855
19,262144,160,13.16,19920.31,-74.1767995108961
20,524288,80,22.9,22896.88,-27.521668504451213
21,1048576,40,49.84,21038.78,65.78859350843857
22,2097152,20,141.97,14771.76,252.40911753421813
23,4194304,10,289.95,14465.84,625.6501655857772
24,8388608,5,601.47,13946.75,1372.1322616888956
25,16777216,2,1933.04,8679.19,2865.096453895132
26,33554432,1,5496.25,6104.97,5851.024838307605
27,67108864,1,11769.37,5701.99,11822.881607132551
28,134217728,1,23632.09,5679.47,23766.59514478244
29,268435456,1,47867.19,5607.92,47654.022220082225
