,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,4.96,0.0,4.96
1,1,1000,5.04,0.2,4.960194317150746
2,2,1000,5.04,0.4,4.960388634301492
3,4,1000,5.06,0.79,4.960777268602984
4,8,1000,5.05,1.58,4.961554537205968
5,16,1000,5.05,3.17,4.9631090744119355
6,32,1000,5.06,6.33,4.966218148823872
7,64,1000,5.07,12.62,4.972436297647743
8,128,1000,5.14,24.9,4.984872595295486
9,256,1000,5.17,49.49,5.009745190590973
10,512,1000,5.22,98.02,5.059490381181945
11,1024,1000,5.84,175.41,5.15898076236389
12,2048,1000,5.61,364.81,5.357961524727781
13,4096,1000,6.52,628.32,5.755923049455561
14,8192,1000,6.96,1176.75,6.551846098911122
15,16384,1000,8.99,1823.38,8.143692197822244
16,32768,1000,14.51,2258.65,11.327384395644486
17,65536,640,29.28,2238.05,17.694768791288976
18,131072,320,36.46,3594.83,30.42953758257795
19,262144,160,55.32,4738.8,55.8990751651559
20,524288,80,85.85,6106.77,106.83815033031179
21,1048576,40,147.64,7102.41,208.7163006606236
22,2097152,20,306.36,6845.43,412.47260132124717
23,4194304,10,649.14,6461.29,819.9852026424944
24,8388608,5,1540.25,5446.27,1635.0104052849888
25,16777216,2,3244.35,5171.21,3265.0608105699775
26,33554432,1,6606.4,5079.08,6525.161621139955
27,67108864,1,13267.25,5058.23,13045.36324227991
28,134217728,1,26216.7,5119.55,26085.76648455982
29,268435456,1,52033.56,5158.89,52166.57296911964
