,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,5.5,0.0,4.98
1,1,1000,4.98,0.2,4.980194070184568
2,2,1000,4.99,0.4,4.9803881403691355
3,4,1000,5.0,0.8,4.9807762807382705
4,8,1000,5.01,1.6,4.9815525614765415
5,16,1000,5.0,3.2,4.983105122953082
6,32,1000,5.01,6.38,4.986210245906164
7,64,1000,5.0,12.79,4.992420491812327
8,128,1000,5.07,25.23,5.004840983624653
9,256,1000,5.13,49.89,5.029681967249306
10,512,1000,5.16,99.16,5.079363934498611
11,1024,1000,5.83,175.65,5.178727868997221
12,2048,1000,5.53,370.57,5.377455737994442
13,4096,1000,6.43,636.63,5.774911475988882
14,8192,1000,6.87,1192.38,6.569822951977765
15,16384,1000,9.0,1820.54,8.15964590395553
16,32768,1000,14.42,2272.28,11.33929180791106
17,65536,640,29.19,2245.0,17.698583615822116
18,131072,320,36.74,3567.15,30.417167231644235
19,262144,160,50.79,5161.25,55.85433446328847
20,524288,80,85.01,6167.15,106.72866892657694
21,1048576,40,146.77,7144.29,208.47733785315387
22,2097152,20,304.77,6881.03,411.9746757063078
23,4194304,10,653.1,6422.13,818.9693514126155
24,8388608,5,1555.16,5394.05,1632.958702825231
25,16777216,2,3306.61,5073.85,3260.937405650462
26,33554432,1,6590.6,5091.26,6516.894811300924
27,67108864,1,13208.63,5080.68,13028.809622601848
28,134217728,1,26006.38,5160.95,26052.639245203696
29,268435456,1,52058.99,5156.37,52100.2984904074
