,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.26,0.0,0.26
1,1,1000,0.28,3.52,0.2602375390883875
2,2,1000,0.29,7.0,0.260475078176775
3,4,1000,0.28,14.06,0.26095015635355
4,8,1000,0.28,28.07,0.26190031270709996
5,16,1000,0.29,54.34,0.26380062541419996
6,32,1000,0.29,108.79,0.26760125082839986
7,64,1000,0.32,198.61,0.2752025016567997
8,128,1000,0.37,345.48,0.2904050033135995
9,256,1000,0.44,581.56,0.32081000662719894
10,512,1000,0.58,878.75,0.3816200132543978
11,1024,1000,0.68,1500.75,0.5032400265087956
12,2048,1000,0.82,2500.23,0.7464800530175912
13,4096,1000,1.71,2402.28,1.2329601060351825
14,8192,1000,1.97,4161.93,2.2059202120703647
15,16384,1000,2.51,6523.84,4.15184042414073
16,32768,1000,3.56,9203.8,8.04368084828146
17,65536,640,5.36,12216.65,15.82736169656292
18,131072,320,9.27,14146.11,31.39472339312584
19,262144,160,16.72,15678.5,62.529446786251675
20,524288,80,35.94,14586.9,124.79889357250336
21,1048576,40,97.19,10789.18,249.3377871450067
22,2097152,20,228.85,9163.76,498.4155742900134
23,4194304,10,543.17,7721.87,996.5711485800268
24,8388608,5,1642.48,5107.29,1992.8822971600537
25,16777216,2,3874.83,4329.79,3985.5045943201076
26,33554432,1,8122.02,4131.29,7970.749188640215
27,67108864,1,16435.08,4083.27,15941.23837728043
28,134217728,1,32044.25,4188.51,31882.216754560857
29,268435456,1,63504.61,4227.02,63764.17350912172
