,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.49,0.0,0.49
1,1,1000,0.49,2.03,0.4901939364243111
2,2,1000,0.49,4.07,0.49038787284862223
3,4,1000,0.49,8.11,0.49077574569724447
4,8,1000,0.49,16.34,0.49155149139448895
5,16,1000,0.49,32.62,0.49310298278897785
6,32,1000,0.68,46.78,0.49620596557795577
7,64,1000,0.68,94.37,0.5024119311559115
8,128,1000,1.22,104.84,0.514823862311823
9,256,1000,1.25,204.55,0.5396477246236461
10,512,1000,1.32,386.47,0.5892954492472922
11,1024,1000,1.61,634.84,0.6885908984945842
12,2048,1000,2.26,906.36,0.8871817969891684
13,4096,1000,3.13,1307.5,1.284363593978337
14,8192,1000,5.17,1585.51,2.078727187956674
15,16384,1000,4.78,3424.89,3.6674543759133478
16,32768,1000,5.66,5784.47,6.844908751826696
17,65536,640,7.09,9248.15,13.199817503653392
18,131072,320,9.61,13641.4,25.909635007306782
19,262144,160,14.56,18001.26,51.32927001461357
20,524288,80,25.7,20401.02,102.16854002922713
21,1048576,40,59.56,17604.37,203.84708005845428
22,2097152,20,158.6,13222.8,407.20416011690855
23,4194304,10,344.7,12168.06,813.9183202338171
24,8388608,5,735.6,11403.74,1627.3466404676342
25,16777216,2,2372.37,7071.91,3254.203280935268
26,33554432,1,6410.65,5234.17,6507.9165618705365
27,67108864,1,13125.64,5112.81,13015.343123741073
28,134217728,1,26556.06,5054.13,26030.19624748215
29,268435456,1,51702.56,5191.92,52059.90249496429
