,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.42,0.0,9.4
1,1,1000,9.47,0.11,9.40033090655516
2,2,1000,9.4,0.21,9.40066181311032
3,4,1000,9.43,0.42,9.40132362622064
4,8,1000,9.45,0.85,9.402647252441279
5,16,1000,9.48,1.69,9.405294504882558
6,32,1000,9.46,3.38,9.410589009765115
7,64,1000,9.44,6.78,9.421178019530231
8,128,1000,17.84,7.18,9.442356039060462
9,256,1000,16.82,15.22,9.484712078120923
10,512,1000,19.66,26.04,9.569424156241844
11,1024,1000,25.89,39.56,9.738848312483688
12,2048,1000,21.02,97.43,10.077696624967375
13,4096,1000,21.11,194.0,10.755393249934752
14,8192,1000,21.63,378.65,12.110786499869503
15,16384,1000,24.0,682.58,14.821572999739004
16,32768,1000,32.19,1018.05,20.24314599947801
17,65536,640,49.95,1311.95,31.08629199895602
18,131072,320,70.65,1855.13,52.77258399791204
19,262144,160,109.21,2400.42,96.14516799582408
20,524288,80,195.88,2676.63,182.89033599164816
21,1048576,40,356.03,2945.19,356.3806719832963
22,2097152,20,671.11,3124.89,703.3613439665926
23,4194304,10,1367.58,3066.95,1397.3226879331853
24,8388608,5,2681.45,3128.39,2785.2453758663705
25,16777216,2,5523.15,3037.62,5561.0907517327405
26,33554432,1,11160.67,3006.49,11112.781503465481
27,67108864,1,22588.16,2970.98,22216.163006930965
28,134217728,1,43960.59,3053.14,44422.92601386193
29,268435456,1,88978.41,3016.86,88836.45202772385
