,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.02,0.0,8.95
1,1,1000,9.02,0.11,8.950327613006223
2,2,1000,9.02,0.22,8.950655226012447
3,4,1000,9.01,0.44,8.951310452024893
4,8,1000,9.0,0.89,8.952620904049787
5,16,1000,8.95,1.79,8.955241808099576
6,32,1000,8.97,3.57,8.960483616199152
7,64,1000,9.19,6.96,8.970967232398305
8,128,1000,9.23,13.86,8.99193446479661
9,256,1000,9.16,27.93,9.033868929593224
10,512,1000,10.64,48.11,9.117737859186448
11,1024,1000,10.85,94.34,9.285475718372895
12,2048,1000,11.17,183.33,9.620951436745793
13,4096,1000,12.92,317.01,10.291902873491587
14,8192,1000,13.75,595.79,11.633805746983173
15,16384,1000,25.13,651.93,14.317611493966346
16,32768,1000,38.0,862.33,19.685222987932693
17,65536,640,57.48,1140.1,30.420445975865388
18,131072,320,102.8,1275.02,51.89089195173078
19,262144,160,127.71,2052.6,94.83178390346156
20,524288,80,182.42,2873.99,180.7135678069231
21,1048576,40,338.17,3100.74,352.4771356138462
22,2097152,20,674.88,3107.46,696.0042712276925
23,4194304,10,1337.47,3135.99,1383.058542455385
24,8388608,5,2634.53,3184.1,2757.1670849107695
25,16777216,2,5459.3,3073.15,5505.384169821539
26,33554432,1,11090.56,3025.49,11001.81833964308
27,67108864,1,22112.45,3034.89,21994.68667928616
28,134217728,1,43754.1,3067.55,43980.42335857231
29,268435456,1,88029.43,3049.38,87951.89671714463
