,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.44,0.0,0.44
1,1,1000,0.45,2.24,0.440234325510104
2,2,1000,0.45,4.46,0.440468651020208
3,4,1000,0.45,8.93,0.440937302040416
4,8,1000,0.45,17.72,0.44187460408083196
5,16,1000,0.45,35.57,0.4437492081616639
6,32,1000,0.5,64.48,0.4474984163233279
7,64,1000,0.48,132.38,0.45499683264665575
8,128,1000,0.6,213.56,0.46999366529331144
9,256,1000,0.63,408.95,0.49998733058662287
10,512,1000,0.92,554.6,0.5599746611732458
11,1024,1000,0.98,1045.56,0.6799493223464915
12,2048,1000,1.09,1880.07,0.9198986446929831
13,4096,1000,1.55,2637.47,1.399797289385966
14,8192,1000,2.04,4007.99,2.359594578771932
15,16384,1000,3.49,4691.66,4.279189157543865
16,32768,1000,5.55,5899.76,8.118378315087728
17,65536,640,9.43,6949.41,15.796756630175457
18,131072,320,15.56,8422.98,31.153513260350916
19,262144,160,28.49,9200.34,61.86702652070183
20,524288,80,67.99,7711.35,123.29405304140366
21,1048576,40,133.33,7864.72,246.14810608280732
22,2097152,20,261.19,8029.26,491.85621216561464
23,4194304,10,518.35,8091.69,983.2724243312293
24,8388608,5,1093.7,7669.95,1966.1048486624586
25,16777216,2,2361.34,7104.97,3931.769697324917
26,33554432,1,7887.43,4254.17,7863.099394649834
27,67108864,1,15934.75,4211.48,15725.758789299669
28,134217728,1,31753.16,4226.91,31451.077578599336
29,268435456,1,62623.31,4286.51,62901.715157198676
