,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.22,0.0,0.21
1,1,1000,0.21,4.78,0.21015928864524872
2,2,1000,0.21,9.39,0.21031857729049747
3,4,1000,0.21,18.85,0.21063715458099494
4,8,1000,0.21,37.28,0.21127430916198986
5,16,1000,0.21,75.24,0.21254861832397975
6,32,1000,0.25,129.61,0.2150972366479595
7,64,1000,0.24,263.23,0.220194473295919
8,128,1000,0.35,368.71,0.230388946591838
9,256,1000,0.37,697.86,0.25077789318367605
10,512,1000,0.46,1121.51,0.2915557863673521
11,1024,1000,0.56,1823.38,0.3731115727347042
12,2048,1000,0.78,2628.38,0.5362231454694084
13,4096,1000,1.15,3557.52,0.8624462909388168
14,8192,1000,1.9,4312.25,1.5148925818776335
15,16384,1000,2.97,5516.41,2.819785163755267
16,32768,1000,4.76,6890.25,5.429570327510534
17,65536,640,8.13,8056.55,10.64914065502107
18,131072,320,14.7,8919.44,21.088281310042138
19,262144,160,13.9,18860.49,41.966562620084275
20,524288,80,24.95,21017.23,83.72312524016854
21,1048576,40,59.65,17577.83,167.2362504803371
22,2097152,20,156.75,13378.57,334.2625009606742
23,4194304,10,336.33,12470.94,668.3150019213484
24,8388608,5,1243.69,6744.93,1336.4200038426968
25,16777216,2,2449.92,6848.06,2672.6300076853936
26,33554432,1,5356.77,6263.93,5345.050015370787
27,67108864,1,10721.47,6259.3,10689.890030741573
28,134217728,1,21479.66,6248.6,21379.570061483148
29,268435456,1,42657.82,6292.76,42758.930122966296
