,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,15.57,0.0,15.54
1,1,1000,15.6,0.06,15.540510805423741
2,2,1000,15.63,0.13,15.541021610847483
3,4,1000,15.58,0.26,15.54204322169497
4,8,1000,15.54,0.51,15.54408644338994
5,16,1000,15.58,1.03,15.548172886779879
6,32,1000,15.59,2.05,15.55634577355976
7,64,1000,15.69,4.08,15.572691547119522
8,128,1000,16.22,7.89,15.605383094239043
9,256,1000,16.16,15.84,15.670766188478089
10,512,1000,16.44,31.14,15.801532376956176
11,1024,1000,16.91,60.56,16.063064753912354
12,2048,1000,38.32,53.45,16.586129507824708
13,4096,1000,38.82,105.5,17.63225901564942
14,8192,1000,40.33,203.11,19.724518031298842
15,16384,1000,41.38,395.95,23.909036062597686
16,32768,1000,48.9,670.13,32.27807212519537
17,65536,640,147.04,445.69,49.016144250390745
18,131072,320,157.18,833.91,82.49228850078148
19,262144,160,214.05,1224.7,149.44457700156298
20,524288,80,319.87,1639.06,283.349154003126
21,1048576,40,524.35,1999.76,551.1583080062519
22,2097152,20,948.93,2210.03,1086.7766160125038
23,4194304,10,1974.74,2123.98,2158.0132320250077
24,8388608,5,4315.11,1944.01,4300.4864640500155
25,16777216,2,8715.05,1925.09,8585.432928100032
26,33554432,1,17480.22,1919.57,17155.325856200063
27,67108864,1,34541.76,1942.83,34295.111712400125
28,134217728,1,68840.62,1949.69,68574.68342480024
29,268435456,1,136948.75,1960.12,137133.8268496005
