,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,10.91,0.0,10.83
1,1,1000,10.89,0.09,10.830444665061883
2,2,1000,10.84,0.18,10.830889330123766
3,4,1000,10.83,0.37,10.83177866024753
4,8,1000,10.83,0.74,10.833557320495059
5,16,1000,10.84,1.48,10.83711464099012
6,32,1000,10.85,2.95,10.844229281980239
7,64,1000,10.94,5.85,10.858458563960477
8,128,1000,10.88,11.77,10.886917127920952
9,256,1000,10.92,23.44,10.943834255841905
10,512,1000,11.3,45.3,11.05766851168381
11,1024,1000,11.92,85.94,11.28533702336762
12,2048,1000,14.72,139.16,11.740674046735238
13,4096,1000,15.61,262.36,12.651348093470478
14,8192,1000,17.87,458.47,14.472696186940954
15,16384,1000,23.47,698.06,18.11539237388191
16,32768,1000,38.28,855.9,25.40078474776382
17,65536,640,80.17,817.46,39.97156949552764
18,131072,320,118.71,1104.11,69.11313899105528
19,262144,160,210.63,1244.57,127.39627798211055
20,524288,80,319.15,1642.76,243.9625559642211
21,1048576,40,517.07,2027.91,477.0951119284422
22,2097152,20,931.72,2250.84,943.3602238568844
23,4194304,10,1774.73,2363.35,1875.8904477137687
24,8388608,5,3643.65,2302.25,3740.9508954275375
25,16777216,2,7388.32,2270.78,7471.071790855075
26,33554432,1,15131.93,2217.46,14931.31358171015
27,67108864,1,30033.43,2234.47,29851.797163420302
28,134217728,1,59062.15,2272.48,59692.7643268406
29,268435456,1,119631.12,2243.86,119374.6986536812
