,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,1.27,0.0,1.27
1,1,1000,1.28,0.78,1.2700820633520045
2,2,1000,1.31,1.53,1.2701641267040087
3,4,1000,1.29,3.11,1.2703282534080174
4,8,1000,1.28,6.26,1.2706565068160347
5,16,1000,1.28,12.52,1.2713130136320696
6,32,1000,1.29,24.75,1.272626027264139
7,64,1000,1.43,44.75,1.2752520545282782
8,128,1000,1.48,86.36,1.2805041090565563
9,256,1000,1.74,147.48,1.2910082181131126
10,512,1000,1.79,286.69,1.3120164362262252
11,1024,1000,1.95,525.03,1.3540328724524504
12,2048,1000,2.54,806.5,1.4380657449049006
13,4096,1000,3.37,1215.02,1.6061314898098011
14,8192,1000,4.11,1994.7,1.9422629796196025
15,16384,1000,5.86,2796.23,2.614525959239205
16,32768,1000,10.39,3155.0,3.95905191847841
17,65536,640,13.05,5023.01,6.648103836956819
18,131072,320,22.19,5908.06,12.026207673913639
19,262144,160,33.33,7865.23,22.78241534782728
20,524288,80,57.98,9041.88,44.29483069565456
21,1048576,40,98.59,10635.44,87.31966139130911
22,2097152,20,183.63,11420.58,173.36932278261824
23,4194304,10,353.64,11860.43,345.46864556523644
24,8388608,5,695.93,12053.74,689.6672911304729
25,16777216,2,1382.3,12137.14,1378.0645822609458
26,33554432,1,2750.73,12198.36,2754.8591645218917
27,67108864,1,5520.39,12156.55,5508.448329043784
28,134217728,1,11027.22,12171.5,11015.626658087567
29,268435456,1,22028.68,12185.72,22029.983316175134
