,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,35.51,0.0,12.03
1,1,1000,35.55,0.03,12.030395107617895
2,2,1000,35.48,0.06,12.030790215235792
3,4,1000,35.59,0.11,12.031580430471584
4,8,1000,35.47,0.23,12.033160860943166
5,16,1000,35.68,0.45,12.036321721886335
6,32,1000,35.53,0.9,12.042643443772668
7,64,1000,12.48,5.13,12.05528688754534
8,128,1000,12.03,10.64,12.080573775090679
9,256,1000,36.77,6.96,12.131147550181357
10,512,1000,35.77,14.31,12.232295100362714
11,1024,1000,44.42,23.05,12.43459020072543
12,2048,1000,36.89,55.51,12.839180401450859
13,4096,1000,37.93,108.0,13.648360802901719
14,8192,1000,56.64,144.62,15.26672160580344
15,16384,1000,55.47,295.38,18.50344321160688
16,32768,1000,68.37,479.27,24.976886423213756
17,65536,640,61.09,1072.77,37.92377284642752
18,131072,320,113.3,1156.89,63.817545692855035
19,262144,160,171.89,1525.06,115.60509138571007
20,524288,80,276.05,1899.28,219.18018277142014
21,1048576,40,482.85,2171.62,426.33036554284024
22,2097152,20,972.95,2155.45,840.6307310856805
23,4194304,10,1906.18,2200.37,1669.231462171361
24,8388608,5,4393.81,1909.19,3326.4329243427223
25,16777216,2,9592.24,1749.04,6640.835848685444
26,33554432,1,23281.07,1441.28,13269.64169737089
27,67108864,1,26655.49,2517.64,26527.253394741776
28,134217728,1,52928.6,2535.83,53042.47678948355
29,268435456,1,105596.38,2542.09,106072.92357896711
