,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,11.33,0.0,10.67
1,1,1000,11.13,0.09,10.670442332908532
2,2,1000,11.14,0.18,10.670884665817065
3,4,1000,11.01,0.36,10.67176933163413
4,8,1000,11.05,0.72,10.673538663268257
5,16,1000,10.94,1.46,10.677077326536514
6,32,1000,10.75,2.98,10.684154653073028
7,64,1000,10.67,6.0,10.698309306146056
8,128,1000,11.38,11.25,10.726618612292114
9,256,1000,11.24,22.77,10.783237224584228
10,512,1000,13.87,36.91,10.896474449168455
11,1024,1000,14.02,73.02,11.122948898336912
12,2048,1000,15.86,129.15,11.575897796673823
13,4096,1000,17.08,239.77,12.481795593347647
14,8192,1000,19.48,420.6,14.293591186695291
15,16384,1000,31.67,517.39,17.917182373390585
16,32768,1000,44.89,729.98,25.164364746781168
17,65536,640,76.19,860.16,39.65872949356234
18,131072,320,140.7,931.56,68.64745898712468
19,262144,160,206.48,1269.56,126.62491797424936
20,524288,80,329.51,1591.14,242.5798359484987
21,1048576,40,516.23,2031.22,474.48967189699744
22,2097152,20,913.92,2294.68,938.3093437939948
23,4194304,10,1750.73,2395.75,1865.9486875879898
24,8388608,5,3594.44,2333.77,3721.2273751759794
25,16777216,2,7396.25,2268.34,7431.784750351959
26,33554432,1,14989.54,2238.52,14852.899500703918
27,67108864,1,30041.51,2233.87,29695.129001407833
28,134217728,1,60052.64,2235.0,59379.58800281567
29,268435456,1,118372.87,2267.71,118748.50600563134
