,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,1.37,0.0,1.36
1,1,1000,1.37,0.73,1.3600821756022778
2,2,1000,1.36,1.47,1.3601643512045556
3,4,1000,1.36,2.93,1.360328702409111
4,8,1000,1.36,5.88,1.3606574048182223
5,16,1000,1.37,11.69,1.3613148096364442
6,32,1000,1.39,23.01,1.3626296192728884
7,64,1000,1.66,38.48,1.3652592385457767
8,128,1000,1.71,74.67,1.3705184770915533
9,256,1000,1.97,130.03,1.3810369541831067
10,512,1000,2.06,249.05,1.402073908366213
11,1024,1000,2.31,442.52,1.444147816732426
12,2048,1000,2.96,692.38,1.528295633464852
13,4096,1000,3.94,1039.62,1.696591266929704
14,8192,1000,5.5,1489.92,2.033182533859408
15,16384,1000,7.29,2248.4,2.706365067718816
16,32768,1000,10.0,3278.31,4.052730135437631
17,65536,640,14.47,4529.26,6.745460270875263
18,131072,320,23.48,5582.73,12.130920541750525
19,262144,160,33.26,7881.68,22.90184108350105
20,524288,80,55.82,9392.32,44.4436821670021
21,1048576,40,98.82,10611.22,87.5273643340042
22,2097152,20,185.88,11282.43,173.69472866800842
23,4194304,10,355.03,11813.87,346.02945733601683
24,8388608,5,697.47,12027.17,690.6989146720337
25,16777216,2,1384.18,12120.69,1380.0378293440672
26,33554432,1,2764.26,12138.68,2758.7156586881347
27,67108864,1,5505.88,12188.59,5516.071317376269
28,134217728,1,11028.52,12170.06,11030.782634752539
29,268435456,1,22069.54,12163.17,22060.205269505077
