,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,8.49,0.0,8.49
1,1,1000,8.56,0.12,8.490324053762764
2,2,1000,8.58,0.23,8.490648107525526
3,4,1000,8.56,0.47,8.491296215051053
4,8,1000,8.56,0.93,8.492592430102105
5,16,1000,8.54,1.87,8.49518486020421
6,32,1000,8.54,3.75,8.500369720408422
7,64,1000,8.58,7.46,8.510739440816842
8,128,1000,8.87,14.44,8.531478881633685
9,256,1000,8.91,28.72,8.572957763267368
10,512,1000,9.01,56.82,8.655915526534736
11,1024,1000,10.29,99.53,8.821831053069474
12,2048,1000,9.52,215.19,9.153662106138947
13,4096,1000,11.56,354.19,9.817324212277894
14,8192,1000,12.26,668.27,11.144648424555786
15,16384,1000,16.68,982.35,13.799296849111574
16,32768,1000,27.19,1205.35,19.108593698223146
17,65536,640,62.4,1050.25,29.727187396446297
18,131072,320,84.42,1552.57,50.96437479289259
19,262144,160,121.14,2163.97,93.43874958578517
20,524288,80,187.65,2793.95,178.38749917157037
21,1048576,40,331.59,3162.27,348.2849983431407
22,2097152,20,639.55,3279.11,688.0799966862814
23,4194304,10,1325.76,3163.69,1367.6699933725629
24,8388608,5,2634.09,3184.64,2726.8499867451255
25,16777216,2,5405.9,3103.5,5445.209973490251
26,33554432,1,10924.81,3071.4,10881.929946980503
27,67108864,1,21775.73,3081.82,21755.369893961008
28,134217728,1,43279.59,3101.18,43502.24978792201
29,268435456,1,87091.05,3082.24,86996.00957584403
