,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.01,0.0,9.01
1,1,1000,9.09,0.11,9.010322583428682
2,2,1000,9.16,0.22,9.010645166857364
3,4,1000,9.16,0.44,9.011290333714726
4,8,1000,9.15,0.87,9.012580667429452
5,16,1000,9.16,1.75,9.015161334858904
6,32,1000,9.2,3.48,9.020322669717808
7,64,1000,9.17,6.98,9.030645339435617
8,128,1000,9.46,13.54,9.051290678871235
9,256,1000,9.5,26.95,9.092581357742471
10,512,1000,9.58,53.42,9.175162715484941
11,1024,1000,10.39,98.59,9.340325430969884
12,2048,1000,10.01,204.52,9.670650861939766
13,4096,1000,11.78,347.74,10.331301723879532
14,8192,1000,12.93,633.64,11.652603447759065
15,16384,1000,16.95,966.42,14.29520689551813
16,32768,1000,27.31,1200.0,19.580413791036257
17,65536,640,62.96,1040.83,30.150827582072516
18,131072,320,85.37,1535.35,51.291655164145034
19,262144,160,119.11,2200.9,93.57331032829008
20,524288,80,188.53,2780.98,178.13662065658013
21,1048576,40,332.13,3157.11,347.2632413131603
22,2097152,20,641.19,3270.73,685.5164826263206
23,4194304,10,1343.5,3121.93,1362.0229652526411
24,8388608,5,2632.56,3186.48,2715.0359305052825
25,16777216,2,5395.44,3109.52,5421.061861010565
26,33554432,1,10862.3,3089.07,10833.11372202113
27,67108864,1,21599.52,3106.96,21657.217444042257
28,134217728,1,43194.89,3107.26,43305.42488808452
29,268435456,1,86663.06,3097.46,86601.83977616903
