,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.56,0.0,0.56
1,1,1000,0.58,1.72,0.5603002192332869
2,2,1000,0.58,3.48,0.5606004384665737
3,4,1000,0.58,6.94,0.5612008769331475
4,8,1000,0.57,13.92,0.5624017538662948
5,16,1000,0.63,25.37,0.5648035077325895
6,32,1000,0.69,46.27,0.5696070154651789
7,64,1000,0.81,79.14,0.5792140309303578
8,128,1000,0.88,144.79,0.5984280618607155
9,256,1000,1.02,251.38,0.6368561237214311
10,512,1000,1.23,415.13,0.713712247442862
11,1024,1000,1.54,664.33,0.8674244948857239
12,2048,1000,1.72,1190.11,1.1748489897714478
13,4096,1000,2.52,1626.31,1.7896979795428958
14,8192,1000,3.1,2643.17,3.0193959590857915
15,16384,1000,3.79,4322.07,5.4787919181715825
16,32768,1000,5.21,6289.64,10.397583836343166
17,65536,640,6.45,10164.08,20.23516767268633
18,131072,320,10.23,12812.11,39.910335345372665
19,262144,160,18.06,14517.97,79.26067069074533
20,524288,80,37.8,13871.47,157.96134138149066
21,1048576,40,100.03,10482.23,315.3626827629813
22,2097152,20,237.76,8820.57,630.1653655259626
23,4194304,10,487.89,8596.84,1259.7707310519252
24,8388608,5,1210.07,6932.34,2518.9814621038504
25,16777216,2,4032.27,4160.74,5037.402924207701
26,33554432,1,10390.38,3229.38,10074.245848415401
27,67108864,1,20681.3,3244.91,20147.931696830805
28,134217728,1,41479.33,3235.77,40295.303393661605
29,268435456,1,79764.25,3365.36,80590.04678732321
