,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.29,0.0,0.28
1,1,1000,0.28,3.51,0.2801602589161848
2,2,1000,0.29,6.84,0.2803205178323695
3,4,1000,0.29,13.92,0.28064103566473897
4,8,1000,0.29,27.88,0.28128207132947797
5,16,1000,0.3,54.19,0.2825641426589559
6,32,1000,0.35,92.39,0.2851282853179118
7,64,1000,0.35,183.69,0.2902565706358235
8,128,1000,0.46,275.76,0.30051314127164697
9,256,1000,0.5,515.86,0.3210262825432939
10,512,1000,0.57,894.19,0.3620525650865878
11,1024,1000,0.66,1546.51,0.4441051301731756
12,2048,1000,0.89,2312.01,0.6082102603463512
13,4096,1000,1.26,3257.4,0.9364205206927023
14,8192,1000,1.99,4106.85,1.5928410413854046
15,16384,1000,4.09,4003.83,2.9056820827708094
16,32768,1000,4.94,6638.5,5.531364165541619
17,65536,640,6.64,9875.97,10.782728331083236
18,131072,320,8.76,14954.77,21.285456662166474
19,262144,160,13.76,19054.69,42.29091332433295
20,524288,80,25.36,20670.47,84.3018266486659
21,1048576,40,59.24,17699.85,168.3236532973318
22,2097152,20,153.49,13662.79,336.36730659466355
23,4194304,10,331.53,12651.36,672.4546131893271
24,8388608,5,957.75,8758.62,1344.6292263786543
25,16777216,2,2519.07,6660.1,2688.978452757309
26,33554432,1,5421.27,6189.4,5377.676905514617
27,67108864,1,10802.91,6212.11,10755.073811029235
28,134217728,1,21684.84,6189.47,21509.867622058468
29,268435456,1,42866.05,6262.19,43019.455244116936
