,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,6.43,0.0,6.43
1,1,1000,6.49,0.15,6.430194842821478
2,2,1000,6.47,0.31,6.430389685642955
3,4,1000,6.49,0.62,6.430779371285911
4,8,1000,6.49,1.23,6.431558742571822
5,16,1000,6.47,2.47,6.433117485143644
6,32,1000,6.47,4.95,6.436234970287288
7,64,1000,6.49,9.86,6.442469940574576
8,128,1000,6.5,19.69,6.454939881149151
9,256,1000,11.34,22.57,6.479879762298302
10,512,1000,13.07,39.19,6.529759524596605
11,1024,1000,16.51,62.02,6.6295190491932106
12,2048,1000,13.62,150.39,6.829038098386421
13,4096,1000,14.22,288.12,7.228076196772843
14,8192,1000,13.82,592.71,8.026152393545686
15,16384,1000,14.01,1169.27,9.622304787091373
16,32768,1000,16.02,2045.18,12.814609574182745
17,65536,640,24.04,2725.66,19.19921914836549
18,131072,320,30.7,4269.94,31.96843829673098
19,262144,160,45.51,5760.11,57.50687659346196
20,524288,80,81.64,6421.92,108.58375318692393
21,1048576,40,153.51,6830.86,210.73750637384785
22,2097152,20,336.4,6234.1,415.0450127476957
23,4194304,10,644.74,6505.41,823.6600254953913
24,8388608,5,1495.88,5607.81,1640.8900509907828
25,16777216,2,3176.06,5282.41,3275.3501019815653
26,33554432,1,6471.37,5185.06,6544.270203963131
27,67108864,1,12937.91,5186.99,13082.110407926262
28,134217728,1,26017.95,5158.66,26157.790815852524
29,268435456,1,52383.45,5124.43,52309.15163170505
