,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,5.08,0.0,5.08
1,1,1000,5.1,0.2,5.0801934352311395
2,2,1000,5.1,0.39,5.080386870462278
3,4,1000,5.14,0.78,5.080773740924556
4,8,1000,5.1,1.57,5.081547481849113
5,16,1000,5.09,3.14,5.083094963698225
6,32,1000,5.1,6.28,5.08618992739645
7,64,1000,5.1,12.55,5.092379854792901
8,128,1000,5.13,24.93,5.104759709585801
9,256,1000,5.18,49.45,5.1295194191716025
10,512,1000,6.5,78.73,5.179038838343205
11,1024,1000,6.64,154.17,5.278077676686411
12,2048,1000,6.87,297.97,5.476155353372821
13,4096,1000,7.44,550.23,5.872310706745642
14,8192,1000,8.26,991.91,6.664621413491283
15,16384,1000,14.69,1115.1,8.249242826982567
16,32768,1000,22.17,1478.06,11.418485653965133
17,65536,640,39.02,1679.5,17.756971307930264
18,131072,320,72.82,1799.95,30.43394261586053
19,262144,160,58.03,4517.64,55.78788523172106
20,524288,80,89.92,5830.65,106.49577046344213
21,1048576,40,152.73,6865.7,207.91154092688427
22,2097152,20,304.08,6896.6,410.7430818537685
23,4194304,10,642.91,6523.97,816.4061637075371
24,8388608,5,1493.36,5617.28,1627.732327415074
25,16777216,2,3264.9,5138.66,3250.384654830148
26,33554432,1,6502.98,5159.85,6495.689309660296
27,67108864,1,13033.66,5148.89,12986.298619320592
28,134217728,1,25900.69,5182.01,25967.517238641187
29,268435456,1,51931.55,5169.02,51929.95447728237
