,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.25,0.0,0.25
1,1,1000,0.26,3.89,0.25019466770459203
2,2,1000,0.26,7.75,0.250389335409184
3,4,1000,0.26,15.58,0.2507786708183681
4,8,1000,0.26,31.1,0.2515573416367361
5,16,1000,0.25,62.84,0.2531146832734722
6,32,1000,0.26,120.87,0.2562293665469444
7,64,1000,0.27,240.54,0.2624587330938888
8,128,1000,0.28,464.8,0.27491746618777757
9,256,1000,0.3,860.55,0.29983493237555514
10,512,1000,0.54,941.87,0.3496698647511103
11,1024,1000,0.6,1693.24,0.4493397295022206
12,2048,1000,0.73,2802.43,0.6486794590044412
13,4096,1000,0.93,4407.94,1.0473589180088825
14,8192,1000,1.52,5401.85,1.844717836017765
15,16384,1000,2.41,6786.29,3.43943567203553
16,32768,1000,3.66,8954.92,6.62887134407106
17,65536,640,5.95,11007.31,13.00774268814212
18,131072,320,8.89,14752.03,25.76548537628424
19,262144,160,15.89,16500.11,51.28097075256848
20,524288,80,41.45,12649.59,102.31194150513696
21,1048576,40,83.85,12504.75,204.37388301027391
22,2097152,20,162.72,12887.95,408.49776602054783
23,4194304,10,417.66,10042.41,816.7455320410957
24,8388608,5,1029.13,8151.19,1633.2410640821913
25,16777216,2,2176.6,7707.99,3266.2321281643826
26,33554432,1,5973.93,5616.81,6532.214256328765
27,67108864,1,12446.35,5391.85,13064.17851265753
28,134217728,1,25849.48,5192.28,26128.10702531506
29,268435456,1,52459.67,5116.99,52255.96405063012
