,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.43,0.0,0.42
1,1,1000,0.42,2.36,0.42019321473892407
2,2,1000,0.42,4.71,0.4203864294778481
3,4,1000,0.42,9.42,0.4207728589556962
4,8,1000,0.42,19.07,0.4215457179113925
5,16,1000,0.42,37.73,0.42309143582278497
6,32,1000,0.57,56.13,0.42618287164557
7,64,1000,0.57,111.34,0.43236574329113997
8,128,1000,1.09,117.15,0.44473148658227996
9,256,1000,1.1,232.22,0.46946297316456
10,512,1000,1.2,426.15,0.5189259463291199
11,1024,1000,1.52,675.83,0.6178518926582399
12,2048,1000,2.12,966.73,0.8157037853164797
13,4096,1000,3.0,1364.35,1.2114075706329595
14,8192,1000,4.66,1759.0,2.002815141265919
15,16384,1000,7.24,2263.09,3.585630282531838
16,32768,1000,12.46,2628.93,6.751260565063676
17,65536,640,23.4,2800.18,13.082521130127352
18,131072,320,43.94,2982.76,25.745042260254706
19,262144,160,14.6,17957.56,51.07008452050941
20,524288,80,25.67,20427.74,101.72016904101882
21,1048576,40,60.59,17306.47,203.02033808203763
22,2097152,20,155.17,13515.18,405.6206761640753
23,4194304,10,332.01,12632.99,810.8213523281505
24,8388608,5,752.19,11152.19,1621.2227046563012
25,16777216,2,2352.94,7130.32,3242.0254093126023
26,33554432,1,6306.36,5320.73,6483.6308186252045
27,67108864,1,13249.33,5065.08,12966.841637250409
28,134217728,1,25967.28,5168.73,25933.263274500816
29,268435456,1,51712.89,5190.88,51866.10654900163
