,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,5.4,0.0,5.4
1,1,1000,5.49,0.18,5.400196095565327
2,2,1000,5.48,0.36,5.4003921911306545
3,4,1000,5.5,0.73,5.400784382261309
4,8,1000,5.48,1.46,5.401568764522617
5,16,1000,5.47,2.92,5.403137529045234
6,32,1000,5.52,5.8,5.406275058090468
7,64,1000,5.52,11.59,5.412550116180936
8,128,1000,5.58,22.93,5.4251002323618716
9,256,1000,5.62,45.51,5.450200464723743
10,512,1000,5.67,90.37,5.500400929447486
11,1024,1000,6.28,163.11,5.600801858894972
12,2048,1000,6.14,333.72,5.801603717789942
13,4096,1000,7.09,577.5,6.203207435579884
14,8192,1000,7.59,1079.55,7.006414871159768
15,16384,1000,9.89,1655.89,8.612829742319537
16,32768,1000,15.94,2055.3,11.825659484639072
17,65536,640,29.66,2209.53,18.251318969278145
18,131072,320,39.84,3289.84,31.102637938556285
19,262144,160,54.29,4828.87,56.80527587711257
20,524288,80,86.74,6044.54,108.21055175422515
21,1048576,40,150.97,6945.57,211.0211035084503
22,2097152,20,289.81,7236.19,416.64220701690056
23,4194304,10,595.85,7039.18,827.8844140338011
24,8388608,5,1503.87,5578.0,1650.3688280676024
25,16777216,2,3245.98,5168.62,3295.3376561352047
26,33554432,1,6536.72,5133.22,6585.275312270409
27,67108864,1,13019.93,5154.32,13165.150624540818
28,134217728,1,25836.66,5194.85,26324.90124908164
29,268435456,1,52872.55,5077.03,52644.402498163276
