,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,5.39,0.0,5.39
1,1,1000,5.46,0.18,5.390187441422278
2,2,1000,5.47,0.37,5.390374882844557
3,4,1000,5.48,0.73,5.390749765689114
4,8,1000,5.45,1.47,5.391499531378229
5,16,1000,5.45,2.94,5.3929990627564575
6,32,1000,5.49,5.83,5.395998125512916
7,64,1000,5.47,11.71,5.401996251025833
8,128,1000,5.55,23.07,5.4139925020516655
9,256,1000,5.6,45.73,5.437985004103331
10,512,1000,5.63,91.0,5.485970008206663
11,1024,1000,6.28,163.1,5.581940016413325
12,2048,1000,6.12,334.58,5.773880032826652
13,4096,1000,7.05,581.24,6.157760065653303
14,8192,1000,7.56,1084.28,6.925520131306607
15,16384,1000,9.7,1688.64,8.461040262613214
16,32768,1000,15.72,2084.5,11.532080525226426
17,65536,640,29.58,2215.58,17.674161050452856
18,131072,320,39.74,3298.0,29.95832210090571
19,262144,160,54.2,4836.21,54.52664420181142
20,524288,80,86.57,6056.14,103.66328840362284
21,1048576,40,150.71,6957.65,201.93657680724567
22,2097152,20,289.34,7247.94,398.48315361449136
23,4194304,10,573.87,7308.75,791.5763072289827
24,8388608,5,1441.62,5818.87,1577.7626144579656
25,16777216,2,3148.88,5328.0,3150.135228915931
26,33554432,1,6345.26,5288.11,6294.880457831862
27,67108864,1,12723.64,5274.34,12584.370915663723
28,134217728,1,25237.93,5318.1,25163.351831327447
29,268435456,1,50229.75,5344.15,50321.313662654895
