,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.25,0.0,0.25
1,1,1000,0.27,3.64,0.2502226856036937
2,2,1000,0.27,7.28,0.2504453712073874
3,4,1000,0.27,14.62,0.2508907424147748
4,8,1000,0.28,28.88,0.25178148482954965
5,16,1000,0.3,53.78,0.2535629696590993
6,32,1000,0.3,105.79,0.2571259393181986
7,64,1000,0.34,188.23,0.2642518786363972
8,128,1000,0.38,336.83,0.27850375727279436
9,256,1000,0.46,554.67,0.3070075145455887
10,512,1000,0.6,848.46,0.36401502909117744
11,1024,1000,0.72,1417.48,0.47803005818235494
12,2048,1000,0.9,2284.74,0.7060601163647099
13,4096,1000,1.76,2321.45,1.1621202327294198
14,8192,1000,2.07,3960.13,2.0742404654588396
15,16384,1000,2.64,6209.23,3.898480930917679
16,32768,1000,3.74,8763.42,7.546961861835358
17,65536,640,5.28,12409.67,14.843923723670716
18,131072,320,10.26,12781.24,29.437847447341433
19,262144,160,18.92,13852.03,58.625694894682866
20,524288,80,38.81,13510.27,117.00138978936573
21,1048576,40,90.35,11605.79,233.75277957873146
22,2097152,20,213.83,9807.77,467.2555591574629
23,4194304,10,428.96,9777.84,934.2611183149259
24,8388608,5,1507.96,5562.88,1868.2722366298517
25,16777216,2,3703.01,4530.7,3736.2944732597034
26,33554432,1,7471.23,4491.16,7472.338946519407
27,67108864,1,14949.02,4489.18,14944.427893038814
28,134217728,1,29868.94,4493.55,29888.605786077627
29,268435456,1,59707.69,4495.83,59776.961572155255
