,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.44,0.0,0.44
1,1,1000,0.44,2.26,0.4401783018781477
2,2,1000,0.45,4.48,0.4403566037562954
3,4,1000,0.44,9.02,0.4407132075125908
4,8,1000,0.45,17.86,0.44142641502518154
5,16,1000,0.44,36.31,0.4428528300503631
6,32,1000,0.64,49.86,0.4457056601007262
7,64,1000,0.66,97.49,0.45141132020145236
8,128,1000,1.03,124.12,0.4628226404029048
9,256,1000,1.11,229.99,0.4856452808058095
10,512,1000,1.2,425.57,0.531290561611619
11,1024,1000,1.51,679.87,0.6225811232232379
12,2048,1000,2.25,910.48,0.8051622464464758
13,4096,1000,3.25,1259.46,1.1703244928929517
14,8192,1000,5.18,1581.28,1.9006489857859035
15,16384,1000,4.54,3607.29,3.361297971571807
16,32768,1000,5.3,6180.82,6.2825959431436145
17,65536,640,6.7,9776.83,12.125191886287228
18,131072,320,8.64,15163.08,23.810383772574458
19,262144,160,12.96,20222.07,47.18076754514891
20,524288,80,22.35,23454.88,93.92153509029782
21,1048576,40,50.76,20657.61,187.40307018059565
22,2097152,20,143.17,14647.82,374.3661403611913
23,4194304,10,292.83,14323.46,748.2922807223827
24,8388608,5,601.89,13937.11,1496.1445614447653
25,16777216,2,1841.49,9110.69,2991.8491228895305
26,33554432,1,5497.75,6103.3,5983.25824577906
27,67108864,1,11923.58,5628.25,11966.076491558122
28,134217728,1,23837.97,5630.42,23931.712983116242
29,268435456,1,47849.35,5610.01,47862.98596623249
