,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.14,0.0,9.09
1,1,1000,9.22,0.11,9.090313242200775
2,2,1000,9.15,0.22,9.09062648440155
3,4,1000,9.2,0.43,9.0912529688031
4,8,1000,9.17,0.87,9.092505937606202
5,16,1000,9.09,1.76,9.095011875212402
6,32,1000,9.2,3.48,9.100023750424805
7,64,1000,9.28,6.9,9.11004750084961
8,128,1000,9.42,13.59,9.130095001699221
9,256,1000,15.3,16.73,9.17019000339844
10,512,1000,17.92,28.58,9.250380006796881
11,1024,1000,23.85,42.94,9.410760013593764
12,2048,1000,20.85,98.22,9.731520027187527
13,4096,1000,20.74,197.49,10.373040054375055
14,8192,1000,21.09,388.38,11.65608010875011
15,16384,1000,21.87,749.25,14.22216021750022
16,32768,1000,28.17,1163.24,19.35432043500044
17,65536,640,45.64,1435.99,29.618640870000878
18,131072,320,63.94,2049.89,50.14728174000176
19,262144,160,97.36,2692.47,91.20456348000351
20,524288,80,169.09,3100.7,173.31912696000703
21,1048576,40,365.89,2865.81,337.548253920014
22,2097152,20,734.24,2856.22,666.0065078400281
23,4194304,10,1445.13,2902.37,1322.923015680056
24,8388608,5,3111.5,2696.0,2636.7560313601125
25,16777216,2,4938.9,3396.95,5264.422062720225
26,33554432,1,10361.81,3238.28,10519.75412544045
27,67108864,1,21431.6,3131.3,21030.4182508809
28,134217728,1,41107.12,3265.07,42051.746501761794
29,268435456,1,84501.3,3176.7,84094.40300352359
