,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,7.87,0.0,7.84
1,1,1000,7.89,0.13,7.8403047849937435
2,2,1000,7.84,0.26,7.840609569987488
3,4,1000,7.85,0.51,7.841219139974976
4,8,1000,7.86,1.02,7.842438279949952
5,16,1000,7.84,2.04,7.8448765598999035
6,32,1000,7.85,4.07,7.849753119799807
7,64,1000,8.09,7.91,7.859506239599615
8,128,1000,8.09,15.81,7.87901247919923
9,256,1000,8.15,31.4,7.918024958398461
10,512,1000,10.07,50.84,7.996049916796922
11,1024,1000,10.09,101.49,8.152099833593844
12,2048,1000,10.41,196.76,8.464199667187689
13,4096,1000,11.51,355.76,9.088399334375376
14,8192,1000,13.1,625.32,10.336798668750752
15,16384,1000,23.03,711.31,12.833597337501505
16,32768,1000,34.9,938.99,17.827194675003014
17,65536,640,55.81,1174.29,27.814389350006024
18,131072,320,102.86,1274.32,47.788778700012045
19,262144,160,109.26,2399.35,87.7375574000241
20,524288,80,170.1,3082.26,167.6351148000482
21,1048576,40,312.75,3352.77,327.43022960009637
22,2097152,20,620.41,3380.24,647.0204592001928
23,4194304,10,1226.08,3420.91,1286.2009184003855
24,8388608,5,2443.16,3433.5,2564.5618368007713
25,16777216,2,4857.67,3453.76,5121.283673601542
26,33554432,1,10339.98,3245.12,10234.727347203085
27,67108864,1,20818.4,3223.54,20461.61469440617
28,134217728,1,40819.22,3288.1,40915.389388812335
29,268435456,1,81789.57,3282.03,81822.93877762467
