,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.69,0.0,0.43
1,1,1000,0.43,2.35,0.4302375573251528
2,2,1000,0.43,4.68,0.43047511465030563
3,4,1000,0.43,9.28,0.4309502293006113
4,8,1000,0.43,18.67,0.43190045860122256
5,16,1000,0.43,37.16,0.4338009172024451
6,32,1000,0.48,67.28,0.4376018344048902
7,64,1000,0.48,134.37,0.44520366880978046
8,128,1000,0.59,215.96,0.4604073376195609
9,256,1000,0.62,412.99,0.49081467523912176
10,512,1000,0.82,625.97,0.5516293504782436
11,1024,1000,0.9,1142.03,0.6732587009564871
12,2048,1000,1.07,1909.27,0.9165174019129743
13,4096,1000,1.47,2789.44,1.4030348038259484
14,8192,1000,2.02,4063.81,2.376069607651897
15,16384,1000,3.29,4981.1,4.322139215303793
16,32768,1000,5.04,6500.43,8.214278430607587
17,65536,640,9.23,7098.18,15.998556861215175
18,131072,320,17.95,7300.91,31.56711372243035
19,262144,160,34.3,7643.2,62.7042274448607
20,524288,80,83.33,6292.07,124.9784548897214
21,1048576,40,169.25,6195.58,249.5269097794428
22,2097152,20,336.43,6233.64,498.6238195588856
23,4194304,10,668.95,6270.0,996.8176391177711
24,8388608,5,1386.13,6051.81,1993.2052782355424
25,16777216,2,3754.41,4468.67,3985.9805564710846
26,33554432,1,7920.34,4236.49,7971.53111294217
27,67108864,1,15928.16,4213.22,15942.63222588434
28,134217728,1,31842.81,4215.01,31884.83445176868
29,268435456,1,63730.6,4212.03,63769.238903537356
