,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.19,0.0,0.18
1,1,1000,0.19,5.27,0.18015532849920218
2,2,1000,0.18,10.97,0.18031065699840437
3,4,1000,0.18,22.22,0.18062131399680878
4,8,1000,0.18,44.37,0.18124262799361757
5,16,1000,0.18,88.5,0.18248525598723514
6,32,1000,0.22,145.89,0.18497051197447026
7,64,1000,0.23,280.92,0.18994102394894052
8,128,1000,0.3,424.53,0.19988204789788108
9,256,1000,0.33,784.31,0.21976409579576214
10,512,1000,0.38,1349.18,0.2595281915915243
11,1024,1000,0.49,2093.92,0.33905638318304865
12,2048,1000,0.74,2760.22,0.49811276636609725
13,4096,1000,1.11,3682.65,0.8162255327321946
14,8192,1000,1.85,4420.6,1.452451065464389
15,16384,1000,2.93,5586.68,2.724902130928778
16,32768,1000,4.96,6601.99,5.269804261857556
17,65536,640,8.37,7830.8,10.359608523715112
18,131072,320,15.06,8704.41,20.539217047430224
19,262144,160,13.9,18855.87,40.89843409486045
20,524288,80,24.94,21018.52,81.6168681897209
21,1048576,40,53.0,19782.72,163.0537363794418
22,2097152,20,142.23,14744.54,325.9274727588836
23,4194304,10,301.56,13908.5,651.6749455177671
24,8388608,5,864.56,9702.7,1303.1698910355344
25,16777216,2,2243.97,7476.56,2606.1597820710685
26,33554432,1,5189.67,6465.62,5212.139564142138
27,67108864,1,10425.75,6436.84,10424.099128284275
28,134217728,1,20855.74,6435.53,20848.01825656855
29,268435456,1,41630.7,6448.02,41695.8565131371
