,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,10.73,0.0,9.47
1,1,1000,10.72,0.09,9.470432049127954
2,2,1000,10.82,0.18,9.470864098255907
3,4,1000,10.65,0.38,9.471728196511815
4,8,1000,10.67,0.75,9.47345639302363
5,16,1000,9.47,1.69,9.476912786047258
6,32,1000,9.48,3.38,9.483825572094517
7,64,1000,9.53,6.71,9.497651144189033
8,128,1000,9.61,13.32,9.525302288378064
9,256,1000,9.67,26.46,9.580604576756128
10,512,1000,9.94,51.53,9.691209153512258
11,1024,1000,10.38,98.65,9.912418307024515
12,2048,1000,12.49,163.98,10.354836614049029
13,4096,1000,13.22,309.95,11.239673228098056
14,8192,1000,14.9,549.82,13.009346456196113
15,16384,1000,18.6,880.72,16.548692912392223
16,32768,1000,28.51,1149.52,23.627385824784447
17,65536,640,62.47,1049.14,37.784771649568896
18,131072,320,88.25,1485.22,66.09954329913779
19,262144,160,179.82,1457.81,122.72908659827557
20,524288,80,268.0,1956.3,235.98817319655114
21,1048576,40,447.12,2345.2,462.5063463931023
22,2097152,20,806.97,2598.81,915.5426927862046
23,4194304,10,1501.23,2793.92,1821.6153855724092
24,8388608,5,3347.73,2505.76,3633.760771144818
25,16777216,2,7421.98,2260.48,7258.051542289637
26,33554432,1,14930.63,2247.36,14506.633084579273
27,67108864,1,30105.64,2229.11,29003.796169158548
28,134217728,1,59677.08,2249.07,57998.122338317095
29,268435456,1,114939.8,2335.44,115986.77467663419
