,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,1.13,0.0,1.13
1,1,1000,1.13,0.88,1.1300818928460683
2,2,1000,1.13,1.76,1.130163785692137
3,4,1000,1.13,3.53,1.1303275713842738
4,8,1000,1.13,7.08,1.1306551427685478
5,16,1000,1.13,14.1,1.1313102855370956
6,32,1000,1.15,27.85,1.1326205710741915
7,64,1000,1.33,48.02,1.1352411421483828
8,128,1000,1.38,92.45,1.140482284296766
9,256,1000,1.63,156.64,1.1509645685935317
10,512,1000,1.72,298.17,1.1719291371870635
11,1024,1000,1.89,540.82,1.213858274374127
12,2048,1000,2.61,784.27,1.2977165487482543
13,4096,1000,3.4,1204.58,1.4654330974965089
14,8192,1000,4.38,1870.32,1.8008661949930178
15,16384,1000,6.02,2722.05,2.4717323899860357
16,32768,1000,9.45,3469.34,3.8134647799720716
17,65536,640,12.86,5095.93,6.496929559944143
18,131072,320,21.96,5969.3,11.863859119888286
19,262144,160,32.42,8085.21,22.597718239776572
20,524288,80,54.16,9680.06,44.06543647955315
21,1048576,40,97.08,10801.05,87.00087295910629
22,2097152,20,185.56,11301.83,172.87174591821258
23,4194304,10,353.06,11879.98,344.61349183642517
24,8388608,5,695.18,12066.88,688.0969836728503
25,16777216,2,1384.87,12114.67,1375.0639673457008
26,33554432,1,2758.13,12165.66,2748.9979346914015
27,67108864,1,5505.54,12189.33,5496.865869382803
28,134217728,1,10987.51,12215.48,10992.601738765605
29,268435456,1,21990.2,12207.05,21984.073477531212
