,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,12.73,0.0,12.49
1,1,1000,12.68,0.08,12.490359969878204
2,2,1000,12.72,0.16,12.490719939756408
3,4,1000,12.66,0.32,12.491439879512814
4,8,1000,12.63,0.63,12.492879759025628
5,16,1000,12.62,1.27,12.495759518051257
6,32,1000,12.71,2.52,12.501519036102515
7,64,1000,12.69,5.04,12.51303807220503
8,128,1000,12.49,10.25,12.536076144410059
9,256,1000,20.7,12.37,12.582152288820115
10,512,1000,31.69,16.16,12.674304577640232
11,1024,1000,45.47,22.52,12.858609155280464
12,2048,1000,32.2,63.61,13.227218310560927
13,4096,1000,30.47,134.42,13.964436621121852
14,8192,1000,47.95,170.85,15.438873242243705
15,16384,1000,28.55,573.8,18.38774648448741
16,32768,1000,54.45,601.82,24.285492968974822
17,65536,640,57.11,1147.52,36.08098593794964
18,131072,320,115.91,1130.84,59.67197187589928
19,262144,160,161.02,1628.07,106.85394375179855
20,524288,80,258.34,2029.45,201.21788750359713
21,1048576,40,470.32,2229.49,389.94577500719424
22,2097152,20,881.92,2377.95,767.4015500143885
23,4194304,10,1825.76,2297.29,1522.313100028777
24,8388608,5,3281.09,2556.66,3032.1362000575537
25,16777216,2,7609.96,2204.64,6051.7824001151075
26,33554432,1,12357.16,2715.38,12091.074800230215
27,67108864,1,24521.6,2736.72,24169.659600460433
28,134217728,1,48781.2,2751.42,48326.82920092086
29,268435456,1,96415.43,2784.15,96641.16840184173
