,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,9.51,0.0,7.86
1,1,1000,8.42,0.12,7.860368708975843
2,2,1000,8.26,0.24,7.860737417951685
3,4,1000,7.9,0.51,7.861474835903371
4,8,1000,7.93,1.01,7.86294967180674
5,16,1000,7.86,2.03,7.8658993436134805
6,32,1000,7.9,4.05,7.871798687226962
7,64,1000,7.92,8.08,7.883597374453922
8,128,1000,7.95,16.11,7.907194748907844
9,256,1000,8.03,31.88,7.954389497815687
10,512,1000,10.81,47.37,8.048778995631375
11,1024,1000,10.99,93.2,8.237557991262749
12,2048,1000,12.83,159.63,8.615115982525497
13,4096,1000,13.88,295.18,9.370231965050992
14,8192,1000,15.83,517.58,10.880463930101984
15,16384,1000,25.9,632.5,13.900927860203968
16,32768,1000,37.13,882.55,19.941855720407936
17,65536,640,63.15,1037.72,32.02371144081587
18,131072,320,118.44,1106.68,56.18742288163174
19,262144,160,158.84,1650.38,104.51484576326348
20,524288,80,248.98,2105.73,201.16969152652698
21,1048576,40,419.13,2501.77,394.47938305305394
22,2097152,20,759.34,2761.82,781.0987661061079
23,4194304,10,1435.68,2921.47,1554.3375322122156
24,8388608,5,2914.08,2878.65,3100.8150644244315
25,16777216,2,6354.68,2640.14,6193.770128848862
26,33554432,1,13044.32,2572.34,12379.680257697726
27,67108864,1,25721.08,2609.1,24751.50051539545
28,134217728,1,51043.42,2629.48,49495.1410307909
29,268435456,1,98036.44,2738.12,98982.4220615818
