,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.99,0.0,0.98
1,1,1000,0.98,1.02,0.9800821661291393
2,2,1000,0.99,2.02,0.9801643322582787
3,4,1000,0.99,4.04,0.9803286645165575
4,8,1000,0.98,8.15,0.9806573290331151
5,16,1000,0.99,16.19,0.9813146580662301
6,32,1000,1.0,31.84,0.9826293161324602
7,64,1000,1.14,56.35,0.9852586322649205
8,128,1000,1.18,108.92,0.9905172645298409
9,256,1000,1.41,181.74,1.0010345290596818
10,512,1000,1.48,345.09,1.0220690581193639
11,1024,1000,1.63,626.42,1.0641381162387278
12,2048,1000,2.32,882.58,1.1482762324774556
13,4096,1000,3.22,1273.91,1.3165524649549112
14,8192,1000,4.52,1812.34,1.6531049299098222
15,16384,1000,6.41,2556.84,2.3262098598196443
16,32768,1000,8.51,3850.56,3.6724197196392887
17,65536,640,12.32,5318.17,6.364839439278578
18,131072,320,18.5,7086.12,11.749678878557155
19,262144,160,31.97,8198.84,22.51935775711431
20,524288,80,54.32,9650.96,44.058715514228616
21,1048576,40,96.85,10826.55,87.13743102845724
22,2097152,20,186.01,11274.5,173.29486205691447
23,4194304,10,352.24,11907.62,345.609724113829
24,8388608,5,692.4,12115.22,690.2394482276579
25,16777216,2,1380.53,12152.71,1379.4988964553158
26,33554432,1,2759.77,12158.43,2758.0177929106317
27,67108864,1,5517.38,12163.16,5515.055585821263
28,134217728,1,11013.41,12186.75,11029.131171642526
29,268435456,1,22069.39,12163.25,22057.282343285053
