,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,7.95,0.0,7.94
1,1,1000,7.94,0.13,7.940300870660519
2,2,1000,8.01,0.25,7.9406017413210375
3,4,1000,7.97,0.5,7.941203482642075
4,8,1000,7.94,1.01,7.9424069652841505
5,16,1000,7.96,2.01,7.9448139305683
6,32,1000,7.97,4.02,7.949627861136599
7,64,1000,8.0,8.0,7.959255722273197
8,128,1000,8.39,15.25,7.9785114445463945
9,256,1000,8.42,30.41,8.01702288909279
10,512,1000,8.47,60.43,8.094045778185578
11,1024,1000,9.49,107.86,8.248091556371156
12,2048,1000,9.0,227.55,8.556183112742312
13,4096,1000,10.85,377.64,9.172366225484623
14,8192,1000,11.42,717.1,10.404732450969245
15,16384,1000,15.68,1044.86,12.869464901938489
16,32768,1000,25.61,1279.46,17.798929803876977
17,65536,640,56.47,1160.59,27.657859607753956
18,131072,320,78.3,1674.02,47.37571921550791
19,262144,160,112.44,2331.41,86.81143843101582
20,524288,80,172.77,3034.61,165.68287686203163
21,1048576,40,304.17,3447.37,323.42575372406327
22,2097152,20,601.35,3487.4,638.9115074481266
23,4194304,10,1231.5,3405.86,1269.8830148962531
24,8388608,5,2427.53,3455.62,2531.8260297925062
25,16777216,2,5044.81,3325.64,5055.712059585012
26,33554432,1,10313.84,3253.34,10103.484119170025
27,67108864,1,20154.81,3329.67,20199.028238340048
28,134217728,1,41051.56,3269.49,40390.1164766801
29,268435456,1,80458.67,3336.31,80772.2929533602
