,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,7.95,0.0,7.95
1,1,1000,8.05,0.12,7.950301839455851
2,2,1000,8.03,0.25,7.950603678911701
3,4,1000,8.03,0.5,7.951207357823403
4,8,1000,8.02,1.0,7.952414715646806
5,16,1000,8.0,2.0,7.954829431293612
6,32,1000,8.03,3.99,7.959658862587223
7,64,1000,8.04,7.96,7.969317725174446
8,128,1000,8.54,14.98,7.988635450348892
9,256,1000,8.59,29.81,8.027270900697783
10,512,1000,8.61,59.46,8.104541801395566
11,1024,1000,9.56,107.15,8.259083602791133
12,2048,1000,9.09,225.24,8.568167205582265
13,4096,1000,10.84,377.87,9.186334411164529
14,8192,1000,11.64,703.65,10.422668822329056
15,16384,1000,15.54,1054.47,12.895337644658113
16,32768,1000,25.91,1264.86,17.840675289316223
17,65536,640,56.43,1161.32,27.731350578632448
18,131072,320,77.7,1686.95,47.5127011572649
19,262144,160,111.53,2350.39,87.0754023145298
20,524288,80,171.18,3062.8,166.20080462905958
21,1048576,40,304.57,3442.84,324.45160925811916
22,2097152,20,604.03,3471.92,640.9532185162384
23,4194304,10,1224.91,3424.17,1273.9564370324767
24,8388608,5,2432.49,3448.57,2539.962874064953
25,16777216,2,5080.25,3302.44,5071.975748129907
26,33554432,1,10289.02,3261.19,10136.001496259814
27,67108864,1,20481.5,3276.56,20264.052992519628
28,134217728,1,41345.72,3246.23,40520.15598503925
29,268435456,1,80593.9,3330.72,81032.3619700785
