,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.55,0.0,0.55
1,1,1000,0.6,1.66,0.5502538072112877
2,2,1000,0.61,3.29,0.5505076144225753
3,4,1000,0.6,6.68,0.5510152288451505
4,8,1000,0.6,13.44,0.5520304576903011
5,16,1000,0.67,23.81,0.5540609153806021
6,32,1000,0.75,42.94,0.5581218307612041
7,64,1000,0.83,76.65,0.5662436615224083
8,128,1000,0.97,132.63,0.5824873230448165
9,256,1000,1.21,211.79,0.6149746460896331
10,512,1000,1.03,499.16,0.6799492921792663
11,1024,1000,1.45,708.09,0.8098985843585325
12,2048,1000,1.67,1228.53,1.0697971687170647
13,4096,1000,2.78,1474.48,1.5895943374341295
14,8192,1000,3.46,2365.58,2.629188674868259
15,16384,1000,3.68,4451.9,4.708377349736518
16,32768,1000,5.03,6509.61,8.866754699473036
17,65536,640,6.47,10132.16,17.18350939894607
18,131072,320,10.8,12135.06,33.81701879789214
19,262144,160,20.06,13067.13,67.08403759578428
20,524288,80,39.86,13154.09,133.61807519156858
21,1048576,40,91.4,11472.93,266.68615038313715
22,2097152,20,213.33,9830.68,532.8223007662742
23,4194304,10,405.56,10341.92,1065.0946015325485
24,8388608,5,875.61,9580.33,2129.6392030650973
25,16777216,2,3233.92,5187.88,4258.728406130194
26,33554432,1,8451.41,3970.28,8516.906812260388
27,67108864,1,17030.99,3940.4,17033.263624520776
28,134217728,1,34031.33,3943.95,34065.977249041556
29,268435456,1,68019.7,3946.44,68131.40449808311
