,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,0.24,0.0,0.23
1,1,1000,0.24,4.24,0.23015628310401512
2,2,1000,0.24,8.51,0.23031256620803023
3,4,1000,0.24,17.0,0.23062513241606042
4,8,1000,0.23,34.05,0.23125026483212083
5,16,1000,0.24,68.08,0.23250052966424165
6,32,1000,0.28,113.36,0.23500105932848328
7,64,1000,0.28,225.66,0.24000211865696658
8,128,1000,0.37,350.1,0.2500042373139331
9,256,1000,0.46,555.11,0.27000847462786626
10,512,1000,0.48,1073.67,0.31001694925573253
11,1024,1000,0.6,1719.09,0.39003389851146497
12,2048,1000,0.83,2472.57,0.55006779702293
13,4096,1000,1.2,3418.45,0.8701355940458599
14,8192,1000,1.95,4200.29,1.51027118809172
15,16384,1000,3.55,4611.9,2.79054237618344
16,32768,1000,4.24,7722.25,5.35108475236688
17,65536,640,5.97,10976.22,10.47216950473376
18,131072,320,7.84,16722.21,20.71433900946752
19,262144,160,12.36,21212.38,41.198678018935034
20,524288,80,21.76,24096.31,82.16735603787008
21,1048576,40,49.08,21366.6,164.10471207574014
22,2097152,20,139.17,15068.84,327.9794241514803
23,4194304,10,291.06,14410.58,655.7288483029606
24,8388608,5,835.12,10044.82,1311.2276966059212
25,16777216,2,2208.36,7597.15,2622.2253932118424
26,33554432,1,5151.31,6513.77,5244.220786423684
27,67108864,1,10451.5,6420.98,10488.21157284737
28,134217728,1,20943.7,6408.5,20976.19314569474
29,268435456,1,41913.42,6404.52,41952.15629138948
